Year,2022,2021,2020,2019,2018
Revenue,74.57,58.9,44.05,42.86,38.11
Revenue Growth (YoY),26.61%,33.71%,2.77%,12.46%,-
Gross Profit,74.57,58.9,44.05,42.86,38.11
"Selling, General & Admin",36.84,33.06,29.24,26.06,18.49
Other Operating Expenses,7.83,7.37,8.57,7.16,7.88
Operating Expenses,44.67,40.44,37.81,33.22,26.37
Operating Income,29.91,18.46,6.24,9.64,11.74
Pretax Income,29.91,18.46,6.24,9.64,11.74
Income Tax,8.8,5.09,1.94,2.64,3.03
Net Income,21.11,13.37,4.3,7,8.71
Net Income Growth,57.90%,210.67%,-38.54%,-19.65%,-
Shares Outstanding (Basic),8,8,8,8,7
Shares Outstanding (Diluted),8,8,8,8,7
Shares Change,1.34%,1.52%,0.45%,11.13%,-
EPS (Basic),2.54,1.63,0.53,0.87,1.22
EPS (Diluted),2.51,1.61,0.53,0.86,1.19
EPS Growth,55.90%,203.77%,-38.37%,-27.73%,-
Free Cash Flow Per Share,3.43,1.95,1.38,1.24,1.38
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,40.10%,31.35%,14.17%,22.48%,30.81%
Profit Margin,28.31%,22.70%,9.77%,16.33%,22.86%
Free Cash Flow Margin,38.23%,27.21%,25.53%,23.28%,25.79%
Effective Tax Rate,29.42%,27.59%,31.04%,27.35%,25.80%
EBITDA,31.38,20.03,7.64,10.52,12.51
EBITDA Margin,42.08%,34.01%,17.34%,24.54%,32.83%
Depreciation & Amortization,1.48,1.57,1.4,0.88,0.77
EBIT,29.91,18.46,6.24,9.64,11.74
EBIT Margin,40.10%,31.35%,14.17%,22.48%,30.81%
