Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,105.49,82.69,95.49,92.95,72.2,59.5,46.3,30.36,30.36,18.87,Upgrade
Revenue Growth (YoY),27.56%,-13.40%,2.73%,28.73%,21.36%,28.50%,52.53%,-0.01%,60.89%,55.95%,Upgrade
Cost of Revenue,23.56,16.02,20.73,16.41,10.75,13.12,9.81,7.94,10.64,5.94,Upgrade
Gross Profit,81.93,66.68,74.76,76.53,61.45,46.38,36.49,22.42,19.72,12.93,Upgrade
"Selling, General & Admin",3.19,2.1,3.87,4.01,4.46,4.18,3.33,2.01,1.89,1.85,Upgrade
Operating Expenses,3.19,2.1,3.87,4.01,4.46,4.18,3.33,2.01,1.89,1.85,Upgrade
Operating Income,78.74,64.57,70.89,72.52,56.99,42.2,33.17,20.4,17.83,11.07,Upgrade
Interest Expense / Income,29.76,21.65,27.11,22.54,14.36,8.34,4.92,0,0,0,Upgrade
Other Expense / Income,45.13,-13.99,24.97,38.56,8.34,-2.77,-5.24,7.46,-3.17,-1.03,Upgrade
Pretax Income,3.85,56.92,18.81,11.42,34.29,36.63,33.49,12.94,20.99,12.11,Upgrade
Income Tax,0.4,0.4,0.4,0,0.8,0.3,0,0.44,0.48,0.12,Upgrade
Net Income,3.45,56.52,18.41,11.42,33.49,36.33,33.49,12.5,20.51,11.98,Upgrade
Net Income Growth,-93.89%,206.94%,61.29%,-65.91%,-7.80%,8.47%,167.82%,-39.05%,71.17%,0.20%,Upgrade
Shares Outstanding (Basic),41,39,39,39,39,32,27,15,15,15,Upgrade
Shares Change,6.64%,-,-,-,19.37%,21.51%,79.42%,-,1.28%,114.71%,Upgrade
EPS (Basic),0.08,1.46,0.47,0.29,0.87,1.20,1.25,0.77,1.38,1.25,Upgrade
EPS (Diluted),0.08,1.46,0.47,0.29,0.87,1.20,1.25,0.77,1.38,1.25,Upgrade
EPS Growth,-94.52%,210.64%,62.07%,-66.67%,-27.50%,-4.00%,62.34%,-44.20%,10.40%,-28.57%,Upgrade
Free Cash Flow Per Share,-1.21,1.28,-0.13,-3.13,-5.37,-2.36,-6.19,-0.15,-1.49,-8.46,Upgrade
Dividend Per Share,1.140,1.140,1.140,1.140,1.140,1.140,1.140,1.115,1.077,1.028,Upgrade
Dividend Growth,0%,0%,0%,0%,0%,0%,2.24%,3.53%,4.77%,12.97%,Upgrade
Gross Margin,77.67%,80.63%,78.29%,82.34%,85.11%,77.95%,78.82%,73.85%,64.96%,68.51%,Upgrade
Operating Margin,74.64%,78.09%,74.24%,78.02%,78.93%,70.92%,71.63%,67.21%,58.73%,58.69%,Upgrade
Profit Margin,3.27%,68.34%,19.28%,12.28%,46.38%,61.05%,72.33%,41.19%,67.58%,63.52%,Upgrade
Free Cash Flow Margin,-47.36%,59.95%,-5.17%,-130.63%,-288.46%,-128.94%,-357.36%,-7.27%,-73.29%,-659.36%,Upgrade
Effective Tax Rate,10.38%,0.70%,2.13%,-,2.33%,0.82%,-,3.40%,2.28%,1.02%,Upgrade
EBITDA,33.61,78.57,45.92,33.96,48.65,44.96,38.41,12.94,20.99,12.11,Upgrade
EBITDA Margin,31.86%,95.01%,48.09%,36.53%,67.38%,75.57%,82.96%,42.64%,69.16%,64.17%,Upgrade
EBIT,33.61,78.57,45.92,33.96,48.65,44.96,38.41,12.94,20.99,12.11,Upgrade
EBIT Margin,31.86%,95.01%,48.09%,36.53%,67.38%,75.57%,82.96%,42.64%,69.16%,64.17%,Upgrade
