Year,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Revenue,286.38,210.42,181.66,168.25,144.56,131.06,93.01,57.29,53.37,56.44,Upgrade
Revenue Growth (YoY),36.10%,15.83%,7.98%,16.39%,10.30%,40.91%,62.34%,7.35%,-5.44%,96.76%,Upgrade
Gross Profit,286.38,210.42,181.66,168.25,144.56,131.06,93.01,57.29,53.37,56.44,Upgrade
"Selling, General & Admin",141.43,109.07,89.73,84.86,78.89,71.18,54.16,35.26,34,30.85,Upgrade
Other Operating Expenses,19.22,20.23,10.99,11.94,10.87,10.18,10.78,4.39,4.71,5.58,Upgrade
Operating Expenses,160.64,129.3,100.72,96.8,89.76,81.36,64.94,39.65,38.71,36.43,Upgrade
Operating Income,125.74,81.12,80.95,71.45,54.8,49.7,28.07,17.64,14.66,20.01,Upgrade
Other Expense / Income,-,-,0.35,0.35,0.32,0.28,0.23,0.13,0.1,0.03,Upgrade
Pretax Income,125.74,81.12,80.6,71.1,54.48,49.42,27.83,17.52,14.56,19.98,Upgrade
Income Tax,31.48,20.47,20.48,16.46,13.45,16.27,9.37,6.09,4.61,3.84,Upgrade
Net Income,94.26,60.65,60.12,54.64,41.04,33.15,18.46,11.43,9.95,16.14,Upgrade
Preferred Dividends,0,0,0,0,0,0,0.63,0.21,0.24,0.98,Upgrade
Net Income Common,94.26,60.65,60.12,54.64,41.04,33.15,17.83,11.22,9.71,15.17,Upgrade
Net Income Growth,55.41%,0.88%,10.03%,33.15%,23.79%,85.93%,58.96%,15.57%,-36.00%,735.08%,Upgrade
Shares Outstanding (Basic),14,11,10,10,10,9,7,4,4,4,Upgrade
Shares Outstanding (Diluted),14,11,11,10,10,10,8,4,4,4,Upgrade
Shares Change,28.98%,5.73%,6.47%,-0.56%,-0.02%,32.53%,72.25%,1.18%,8.10%,15.88%,Upgrade
EPS (Basic),6.78,5.65,5.82,5.71,4.26,3.51,2.49,2.80,2.33,3.81,Upgrade
EPS (Diluted),6.56,5.44,5.70,5.52,4.12,3.33,2.37,2.57,2.25,3.80,Upgrade
EPS Growth,20.59%,-4.56%,3.26%,33.98%,23.72%,40.51%,-7.78%,14.22%,-40.79%,616.98%,Upgrade
Free Cash Flow Per Share,7.56,7.91,6.59,5.62,4.85,4.10,2.90,3.56,1.27,4.32,Upgrade
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,Upgrade
Operating Margin,43.91%,38.55%,44.56%,42.47%,37.91%,37.92%,30.18%,30.80%,27.47%,35.45%,Upgrade
Profit Margin,32.91%,28.82%,33.10%,32.48%,28.39%,25.29%,19.17%,19.58%,18.19%,26.87%,Upgrade
Free Cash Flow Margin,36.72%,40.33%,37.49%,31.94%,32.33%,29.53%,22.32%,24.87%,9.90%,30.42%,Upgrade
Effective Tax Rate,25.03%,25.23%,25.41%,23.15%,24.68%,32.92%,33.67%,34.76%,31.65%,19.21%,Upgrade
EBITDA,147.67,94.98,91.28,78.41,60.76,56.48,32.97,20.84,18.4,23.39,Upgrade
EBITDA Margin,51.56%,45.14%,50.25%,46.60%,42.03%,43.10%,35.44%,36.37%,34.49%,41.44%,Upgrade
Depreciation & Amortization,21.93,13.86,10.69,7.31,6.28,7.07,5.13,3.32,3.85,3.41,Upgrade
EBIT,125.74,81.12,80.6,71.1,54.48,49.42,27.83,17.52,14.56,19.98,Upgrade
EBIT Margin,43.91%,38.55%,44.37%,42.26%,37.69%,37.71%,29.93%,30.57%,27.28%,35.40%,Upgrade
