Year,2022,2021,2020,2019
Revenue,80.57,70.14,54.75,50.9
Revenue Growth (YoY),14.87%,28.10%,7.56%,-
Gross Profit,80.57,70.14,54.75,50.9
"Selling, General & Admin",36.16,30.38,28.98,27.18
Other Operating Expenses,14.13,13.08,11.25,9.31
Operating Expenses,50.29,43.46,40.23,36.49
Operating Income,30.28,26.68,14.52,14.41
Pretax Income,30.28,26.68,14.52,14.41
Income Tax,5.91,5.39,2.84,2.93
Net Income,24.36,21.29,11.68,11.48
Net Income Growth,14.45%,82.27%,1.72%,-
Shares Outstanding (Basic),6,5,5,4
Shares Outstanding (Diluted),6,5,5,4
Shares Change,13.14%,10.21%,0.54%,-
EPS (Basic),4.33,4.28,2.59,2.56
EPS (Diluted),4.33,4.28,2.59,2.56
EPS Growth,1.17%,65.25%,1.17%,-
Free Cash Flow Per Share,5.15,3.69,2.36,2.65
Dividend Per Share,0.830,0.400,-,-
Dividend Growth,107.50%,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%
Operating Margin,37.58%,38.04%,26.52%,28.31%
Profit Margin,30.24%,30.35%,21.33%,22.56%
Free Cash Flow Margin,35.92%,26.18%,19.46%,23.34%
Effective Tax Rate,19.53%,20.20%,19.56%,20.32%
EBITDA,31.97,28.34,16.08,15.88
EBITDA Margin,39.68%,40.40%,29.37%,31.21%
Depreciation & Amortization,1.69,1.66,1.56,1.48
EBIT,30.28,26.68,14.52,14.41
EBIT Margin,37.58%,38.04%,26.52%,28.31%
