Year,2022,2021,2020,2019,2018,2017,2016,2015
Revenue,625.59,572.18,558.59,673.25,623.47,611.57,570.31,531.92
Revenue Growth (YoY),9.34%,2.43%,-17.03%,7.98%,1.95%,7.24%,7.22%,-
Cost of Revenue,373.26,331.43,298.64,314.49,298,276.41,277.05,293.32
Gross Profit,252.33,240.75,259.95,358.76,325.47,335.17,293.26,238.6
"Selling, General & Admin",183.26,155.48,111.44,140.25,132.4,137.76,124.27,130.53
Other Operating Expenses,0,0,0,0,0,0,3.62,7.17
Operating Expenses,183.26,155.48,111.44,140.25,132.4,137.76,127.89,137.71
Operating Income,69.07,85.26,148.51,218.51,193.07,197.41,165.36,100.89
Interest Expense / Income,185.66,97.33,72.71,69.76,84.38,82.7,64.33,65.02
Other Expense / Income,77.57,-92.63,-5.83,-1.3,129.08,23.91,-6.99,-
Pretax Income,-194.16,80.56,81.63,150.05,-20.39,90.8,108.02,35.87
Income Tax,-8.68,21.22,5.9,38.56,1.66,41.65,42.58,18.11
Net Income,-185.48,59.33,75.73,111.49,-22.05,49.15,65.44,17.77
Net Income Growth,-,-21.65%,-32.07%,-,-,-24.89%,268.30%,-
Shares Outstanding (Basic),40,41,41,45,46,38,38,38
Shares Outstanding (Diluted),40,43,42,46,48,39,39,39
Shares Change,-6.29%,2.50%,-8.45%,-4.15%,22.12%,1.22%,-0.24%,-
EPS (Basic),-4.59,1.44,1.85,2.50,-0.48,1.28,1.73,0.47
EPS (Diluted),-4.59,1.38,1.80,2.43,-0.46,1.25,1.69,0.46
EPS Growth,-,-23.33%,-25.93%,-,-,-26.04%,267.39%,-
Free Cash Flow Per Share,5.91,7.28,9.64,14.25,11.36,11.11,8.27,-0.07
Dividend Per Share,0.330,0.385,0.220,-,-,-,-,-
Dividend Growth,-14.29%,75.00%,-,-,-,-,-,-
Gross Margin,40.33%,42.08%,46.54%,53.29%,52.20%,54.80%,51.42%,44.86%
Operating Margin,11.04%,14.90%,26.59%,32.46%,30.97%,32.28%,29.00%,18.97%
Profit Margin,-29.65%,10.37%,13.56%,16.56%,-3.54%,8.04%,11.48%,3.34%
Free Cash Flow Margin,38.17%,52.35%,70.59%,94.56%,83.47%,69.69%,54.94%,-0.51%
Effective Tax Rate,-,26.35%,7.22%,25.70%,-,45.87%,39.42%,50.47%
EBITDA,27.82,204.85,171.84,238.44,82.33,191.68,191.26,120.01
EBITDA Margin,4.45%,35.80%,30.76%,35.42%,13.20%,31.34%,33.54%,22.56%
Depreciation & Amortization,36.32,26.96,17.5,18.63,18.34,18.19,18.91,19.11
EBIT,-8.5,177.89,154.34,219.81,63.99,173.5,172.36,100.89
EBIT Margin,-1.36%,31.09%,27.63%,32.65%,10.26%,28.37%,30.22%,18.97%
