Year,2022,2021,2020,2019,2018,2017,2016
Revenue,15.96,16.94,18.73,16.48,15.46,14.79,15.27
Revenue Growth (YoY),-5.78%,-9.56%,13.68%,6.59%,4.54%,-3.14%,-
Gross Profit,15.96,16.94,18.73,16.48,15.46,14.79,15.27
"Selling, General & Admin",12.13,12.75,11.91,12.29,12.02,11.5,10.71
Other Operating Expenses,4.15,4.17,3.77,3.75,3.64,5.09,3.3
Operating Expenses,16.28,16.92,15.68,16.04,15.66,16.59,14.01
Operating Income,-0.32,0.02,3.05,0.44,-0.2,-1.8,1.25
Pretax Income,-0.32,0.02,3.05,0.44,-0.2,-1.8,1.25
Income Tax,-0.17,-0.06,1.74,-0.01,-0.18,-3.46,0
Net Income,-0.15,0.09,1.32,0.45,-0.02,1.66,1.25
Net Income Growth,-,-93.55%,193.32%,-,-,32.30%,-
Shares Outstanding (Basic),6,6,5,6,6,-,-
Shares Outstanding (Diluted),6,6,5,6,-,-,-
Shares Change,-6.71%,32.13%,-24.31%,-3.55%,-,-,-
EPS (Basic),-0.03,0.01,0.28,0.08,-,-,-
EPS (Diluted),-0.03,0.01,0.28,0.08,-,-,-
EPS Growth,-,-96.43%,268.42%,-,-,-,-
Free Cash Flow Per Share,0.41,0.42,0.21,0.17,-0.29,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-2.00%,0.12%,16.30%,2.67%,-1.27%,-12.19%,8.21%
Profit Margin,-0.93%,0.50%,7.03%,2.72%,-0.12%,11.22%,8.21%
Free Cash Flow Margin,15.02%,14.96%,5.22%,6.55%,-12.10%,-1.32%,7.87%
Effective Tax Rate,-,-304.76%,56.86%,-2.05%,-,-,-
EBITDA,0.28,0.68,3.71,1.14,0.47,-1.11,1.93
EBITDA Margin,1.76%,3.98%,19.83%,6.89%,3.02%,-7.52%,12.61%
Depreciation & Amortization,0.6,0.65,0.66,0.7,0.66,0.69,0.67
EBIT,-0.32,0.02,3.05,0.44,-0.2,-1.8,1.25
EBIT Margin,-2.00%,0.12%,16.30%,2.67%,-1.27%,-12.19%,8.21%
