Year,2022,2021,2020,2019,2018
Revenue,631.51,801.66,518.99,533.3,701.99
Revenue Growth (YoY),-21.23%,54.47%,-2.68%,-24.03%,-
Cost of Revenue,545.49,600.69,399.15,543.12,676.66
Gross Profit,86.02,200.97,119.84,-9.82,25.33
"Selling, General & Admin",20.22,16.98,15.06,15.65,16.13
Research & Development,30.08,28.36,27.28,27.07,22.98
Other Operating Expenses,83.45,89.05,92.09,102.58,93.64
Operating Expenses,133.75,134.38,134.44,145.3,132.75
Operating Income,-47.73,66.58,-14.6,-155.12,-107.42
Interest Expense / Income,0.28,7.61,15.74,15.4,15.16
Other Expense / Income,-76.21,49.47,-9.45,-8.92,0.63
Pretax Income,28.21,9.51,-20.89,-161.6,-123.22
Income Tax,10.33,18.93,3.45,2.42,2.54
Net Income,17.88,-9.42,-24.34,-164.02,-125.76
Shares Outstanding (Basic),44,43,30,7,-
Shares Outstanding (Diluted),90,93,30,7,-
Shares Change,-3.23%,206.31%,340.76%,-,-
EPS (Basic),0.41,-0.22,-,-,-
EPS (Diluted),-0.46,-0.66,-,-,-
Free Cash Flow Per Share,-1.01,5.48,2.65,-16.52,-
Dividend Per Share,0.280,0.140,-,-,-
Dividend Growth,100.00%,-,-,-,-
Gross Margin,13.62%,25.07%,23.09%,-1.84%,3.61%
Operating Margin,-7.56%,8.31%,-2.81%,-29.09%,-15.30%
Profit Margin,2.83%,-1.18%,-4.69%,-30.76%,-17.91%
Free Cash Flow Margin,-7.02%,29.12%,15.49%,-21.29%,38.11%
Effective Tax Rate,36.61%,199.11%,-,-,-
EBITDA,55.12,48.96,27.45,-115.89,-91.74
EBITDA Margin,8.73%,6.11%,5.29%,-21.73%,-13.07%
Depreciation & Amortization,26.64,31.85,32.6,30.31,16.32
EBIT,28.48,17.11,-5.15,-146.2,-108.05
EBIT Margin,4.51%,2.13%,-0.99%,-27.41%,-15.39%
