Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31
Revenue,60.1,62.65,65.15,51.28,38.31,29.98,24.68,23.03,19.94,16.38,14.84,13.58,12.46,12.57,12.18,11.77,11.21,11.06,9.89,9.12,8.38,8.34,8.67,8.24,-
Revenue Growth (YoY),56.87%,108.96%,163.94%,122.65%,92.12%,83.01%,66.36%,69.57%,60.09%,30.38%,21.84%,15.39%,11.11%,13.57%,23.18%,29.01%,33.72%,32.65%,14.03%,10.67%,-,-,-,-,-
Gross Profit,60.1,62.65,65.15,51.28,38.31,29.98,24.68,23.03,19.94,16.38,14.84,13.58,12.46,12.57,12.18,11.77,11.21,11.06,9.89,9.12,8.38,8.34,8.67,8.24,-
"Selling, General & Admin",20.58,19,18.45,15.78,13.37,13.04,12.2,11.71,10.5,8.62,8.3,7.59,7.99,7.15,7,6.67,6.93,6.5,5.87,5.63,5.41,5.13,5.21,4.75,-
Other Operating Expenses,24.09,28.1,32.64,22.39,17.04,8.02,3.93,2.02,1.85,1.87,1.37,1.35,1.03,0.86,0.75,0.97,0.74,0.69,0.74,0.72,0.66,0.66,0.6,0.72,0
Operating Expenses,44.66,47.1,51.09,38.17,30.42,21.05,16.13,13.73,12.35,10.49,9.67,8.95,9.02,8.01,7.75,7.64,7.66,7.19,6.61,6.35,6.07,5.79,5.81,5.46,-
Operating Income,15.44,15.54,14.07,13.12,7.9,8.93,8.55,9.3,7.59,5.89,5.17,4.64,3.44,4.56,4.43,4.13,3.55,3.88,3.28,2.77,2.32,2.56,2.86,2.78,-
Pretax Income,15.44,15.54,14.07,13.12,7.9,8.93,8.55,9.3,7.59,5.89,5.17,4.64,3.44,4.56,4.43,4.13,3.55,3.88,3.28,2.77,2.32,2.56,2.86,2.78,-
Income Tax,3.05,2.43,2.96,2.94,1.67,1.64,1.87,2.29,1.57,1.23,1.08,0.97,0.71,0.95,0.92,0.85,0.74,0.82,0.67,0.57,0.47,2.21,0.96,0.91,-
Net Income,12.39,13.12,11.1,10.18,6.23,7.29,6.68,7.01,6.02,4.66,4.09,3.67,2.72,3.61,3.51,3.27,2.81,3.06,2.6,2.2,1.84,0.34,1.9,1.88,-
Net Income Growth,98.89%,79.95%,66.08%,45.10%,3.52%,56.40%,63.42%,91.04%,120.93%,29.19%,16.49%,12.13%,-2.99%,18.10%,34.93%,48.75%,52.36%,790.67%,36.66%,17.32%,-,-,-,-,-
