Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",1.55,0.39,0.24,0.25,0.29,0.44,0.33,0.08,0
Operating Expenses,1.55,0.39,0.24,0.25,0.29,0.44,0.33,0.08,0
Operating Income,-1.55,-0.39,-0.24,-0.25,-0.29,-0.44,-0.33,-0.08,-0
Other Expense / Income,-0.35,-1.67,-0.74,-2.21,-2.88,-0.39,-5.1,0.91,-
Pretax Income,-1.2,1.28,0.5,1.96,2.59,-0.05,4.77,-0.99,-0
Income Tax,0.45,0.38,0.13,0.01,0,0,0,0,0
Net Income,-1.65,0.9,0.37,1.94,2.59,-0.05,4.77,-0.99,-0
Net Income Growth,-,-,-92.32%,-,-,-,-,-,-
Shares Outstanding (Basic),22,22,22,22,22,15,21,6,4
Shares Outstanding (Diluted),22,22,22,22,22,15,21,6,4
Shares Change,-,44.63%,0.91%,267.89%,475.00%,-,-,-,-
EPS (Basic),-0.08,0.04,0.02,0.09,0.12,-0.06,0.22,-0.17,-
EPS (Diluted),-0.08,0.04,0.02,0.09,0.12,-0.06,0.22,-0.17,-
EPS Growth,-,-,-90.91%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.04,-0.00,-0.00,-0.01,-0.02,-0.00,-0.04,-0.01,-
Effective Tax Rate,-,29.79%,26.10%,0.68%,-,-,-,-,-
EBITDA,-1.2,1.28,0.5,1.96,2.59,-0.05,4.77,-0.99,-0
EBIT,-1.2,1.28,0.5,1.96,2.59,-0.05,4.77,-0.99,-0
