Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30
"Selling, General & Admin",2.16,8.9,0.36,0.3,0.37,0.57,0.21,0.25,0.33,0.14,0
Operating Expenses,2.16,8.9,0.36,0.3,0.37,0.57,0.21,0.25,0.33,0.14,0
Operating Income,-2.16,-8.9,-0.36,-0.3,-0.37,-0.57,-0.21,-0.25,-0.33,-0.14,-0
Other Expense / Income,0.4,-2.6,0.76,-9.68,-1.83,-11.33,6.97,-11.03,15.41,-5.1,-
Pretax Income,-2.56,-6.3,-1.12,9.38,1.46,10.76,-7.18,10.79,-15.75,4.95,-0
Income Tax,-0.01,0.05,0.02,0,0,0,0,0,0,0,0
Net Income,-2.55,-6.35,-1.13,9.38,1.46,10.76,-7.18,10.79,-15.75,4.95,-0
Net Income Growth,-,-,-,-13.02%,-,117.38%,-,-,-,-,-
Shares Outstanding (Basic),32,25,43,43,43,43,43,43,31,31,8
Shares Outstanding (Diluted),32,25,43,43,43,43,43,43,31,31,8
Shares Change,-25.19%,-42.47%,-,-,41.37%,38.43%,475.00%,-,-,-,-
EPS (Basic),-0.07,-0.26,-0.03,0.22,0.04,0.25,-0.17,0.25,-0.58,0.16,-
EPS (Diluted),-0.07,-0.26,-0.03,0.22,0.04,0.25,-0.17,0.25,-0.58,0.16,-
EPS Growth,-,-,-,-12.00%,-,56.25%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.05,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-,-,-
EBITDA,-2.56,-6.3,-1.12,9.38,1.46,10.76,-7.18,10.79,-,-,-0
EBIT,-2.56,-6.3,-1.12,9.38,1.46,10.76,-7.18,10.79,-15.75,4.95,-0
