Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30
Revenue,119.66,137.34,45.45,38.29,57.38,122.36,41.71,39.59,35.79,95.15,31.62,25.2,31.5,37.65,38.11,40.8,35.67,39.25,36.19,33.69,31.54,30.26,32.99,30.75,28.32,29.52,27.84
Revenue Growth (YoY),108.55%,12.24%,8.97%,-3.28%,60.32%,28.60%,31.89%,57.13%,13.62%,152.71%,-17.02%,-38.24%,-11.71%,-4.07%,5.30%,21.08%,13.13%,29.71%,9.71%,9.59%,11.35%,2.51%,18.49%,-,-,-,-
Gross Profit,119.66,137.34,45.45,38.29,57.38,122.36,41.71,39.59,35.79,95.15,31.62,25.2,31.5,37.65,38.11,40.8,35.67,39.25,36.19,33.69,31.54,30.26,32.99,30.75,28.32,29.52,27.84
"Selling, General & Admin",44.7,59.49,21.29,19.75,25.4,39.25,20.71,21.33,19.72,31.09,20.66,19.25,18.69,18.94,18.88,20.24,19.46,16.53,17.67,17.66,18,19.55,16.35,16.44,16.07,17.2,15.27
Other Operating Expenses,27.9,58.86,8.03,4,9.12,27.45,3.66,3.86,3.57,27.96,3.2,3.25,3.4,3.17,3.17,3.16,3.12,5.22,2.3,2.35,2.29,2.44,2.66,2.42,2.36,1.44,2.76
Operating Expenses,72.6,118.35,29.32,23.76,34.52,66.7,24.37,25.2,23.29,59.05,23.86,22.5,22.09,22.11,22.05,23.4,22.59,21.76,19.96,20.01,20.28,21.99,19.02,18.86,18.43,18.64,18.03
Operating Income,47.06,18.99,16.13,14.53,22.86,55.66,17.33,14.4,12.5,36.1,7.77,2.7,9.41,15.54,16.07,17.39,13.09,17.49,16.23,13.68,11.25,8.27,13.97,11.89,9.89,10.88,9.81
Pretax Income,47.06,18.99,16.13,14.53,22.86,55.66,17.33,14.4,12.5,36.1,7.77,2.7,9.41,15.54,16.07,17.39,13.09,17.49,16.23,13.68,11.25,8.27,13.97,11.89,9.89,10.88,9.81
Income Tax,9.91,2.61,3.38,2.83,4.2,10.25,2.91,2.69,2.49,6.69,1.34,0.54,1.87,2.91,2.99,3.08,2.6,3.38,3.21,2.64,2.14,6.31,3.93,3.18,3.03,3.32,3.03
Net Income,37.15,16.38,12.75,11.71,18.66,45.41,14.42,11.7,10.02,29.41,6.42,2.16,7.54,12.64,13.08,14.32,10.49,14.11,13.02,11.04,9.11,1.96,10.05,8.71,6.86,7.56,6.78
Net Income Growth,99.11%,-63.92%,-11.61%,0.03%,86.22%,54.41%,124.59%,441.05%,32.86%,132.74%,-50.89%,-84.89%,-28.11%,-10.46%,0.41%,29.64%,15.12%,621.10%,29.62%,26.85%,32.79%,-74.10%,48.16%,-,-,-,-
Shares Outstanding (Basic),53,52,25,25,25,25,25,25,25,25,25,25,25,26,26,26,26,26,26,26,26,25,24,24,24,24,-
Shares Change,115.27%,112.77%,-0.29%,0.05%,0.06%,-1.07%,-1.43%,-1.42%,-2.38%,-4.50%,-4.09%,-4.04%,-3.11%,0.21%,0.20%,0.20%,0.23%,3.66%,6.13%,6.06%,6.05%,2.38%,-,-,-,-,-
EPS (Basic),0.70,0.05,0.52,0.48,0.65,1.37,0.59,0.48,0.41,0.92,0.26,0.09,0.30,0.51,0.52,0.57,0.42,0.56,0.52,0.44,0.37,0.07,0.46,0.39,0.31,0.34,0.31
EPS (Diluted),0.70,0.04,0.52,0.48,0.64,1.35,0.59,0.48,0.41,0.91,0.26,0.09,0.30,0.51,0.52,0.57,0.42,0.56,0.52,0.44,0.37,0.06,0.45,0.39,0.31,0.34,0.31
EPS Growth,9.38%,-97.04%,-11.86%,0%,56.10%,48.35%,126.92%,433.33%,36.67%,78.43%,-50.00%,-84.21%,-28.57%,-8.93%,0%,29.55%,13.51%,833.33%,15.56%,12.82%,19.35%,-82.35%,45.16%,-,-,-,-
Free Cash Flow Per Share,0.97,1.31,0.75,0.57,0.65,2.11,1.24,0.34,0.63,1.71,-0.33,0.54,0.41,0.44,0.73,0.51,0.39,0.53,0.52,0.52,0.28,0.33,0.48,0.27,0.45,0.42,-
Dividend Per Share,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.130,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.100,0.050,0.050,0.050,0.050,0.050,-,-,-,-,-
Dividend Growth,0%,0%,0%,0%,0%,30.00%,30.00%,30.00%,30.00%,0%,0%,0%,0%,100.00%,100.00%,100.00%,100.00%,0%,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,39.33%,13.83%,35.49%,37.96%,39.84%,45.49%,41.56%,36.36%,34.94%,37.94%,24.55%,10.72%,29.87%,41.28%,42.16%,42.63%,36.69%,44.57%,44.84%,40.60%,35.68%,27.33%,42.36%,38.66%,34.94%,36.86%,35.24%
Profit Margin,31.04%,11.93%,28.05%,30.57%,32.52%,37.11%,34.58%,29.56%,27.99%,30.91%,20.30%,8.58%,23.94%,33.56%,34.31%,35.09%,29.41%,35.96%,35.98%,32.77%,28.89%,6.47%,30.45%,28.31%,24.23%,25.60%,24.35%
Free Cash Flow Margin,42.94%,50.03%,40.59%,36.96%,27.66%,42.43%,72.85%,20.96%,43.55%,44.72%,-26.19%,53.16%,32.54%,30.28%,49.84%,32.33%,28.07%,35.07%,37.33%,39.79%,23.30%,27.37%,35.40%,21.74%,38.59%,34.67%,-
Effective Tax Rate,21.06%,13.73%,20.96%,19.45%,18.38%,18.42%,16.81%,18.70%,19.87%,18.52%,17.31%,19.95%,19.85%,18.69%,18.61%,17.69%,19.86%,19.32%,19.76%,19.28%,19.01%,76.34%,28.10%,26.76%,30.64%,30.54%,30.90%
EBITDA,55.78,29.2,17.47,15.88,24.64,58.91,18.76,15.84,13.94,39.64,9.14,4.07,10.75,16.91,17.39,18.76,14.47,18.56,17.31,14.76,12.33,9.35,15.08,13.04,10.99,11.98,-
EBITDA Margin,46.61%,21.26%,38.43%,41.47%,42.95%,48.14%,44.97%,40.00%,38.96%,41.67%,28.91%,16.16%,34.14%,44.91%,45.62%,45.98%,40.57%,47.28%,47.81%,43.79%,39.10%,30.89%,45.70%,42.42%,38.81%,40.58%,-
Depreciation & Amortization,8.72,10.21,1.34,1.35,1.78,3.25,1.42,1.44,1.44,3.55,1.38,1.37,1.35,1.37,1.32,1.37,1.39,1.06,1.08,1.08,1.08,1.08,1.1,1.16,1.1,1.1,-
EBIT,47.06,18.99,16.13,14.53,22.86,55.66,17.33,14.4,12.5,36.1,7.77,2.7,9.41,15.54,16.07,17.39,13.09,17.49,16.23,13.68,11.25,8.27,13.97,11.89,9.89,10.88,9.81
EBIT Margin,39.33%,13.83%,35.49%,37.96%,39.84%,45.49%,41.56%,36.36%,34.94%,37.94%,24.55%,10.72%,29.87%,41.28%,42.16%,42.63%,36.69%,44.57%,44.84%,40.60%,35.68%,27.33%,42.36%,38.66%,34.94%,36.86%,35.24%
