Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.4,0.14,0.83,0.48,0.01,0
Other Operating Expenses,0.01,0.05,0.05,0.05,0,0
Operating Expenses,0.41,0.19,0.88,0.53,0.01,0
Operating Income,-0.41,-0.19,-0.88,-0.53,-0.01,-0
Other Expense / Income,-0.95,-0.52,-0.16,0.06,-,-
Pretax Income,0.54,0.33,-0.72,-0.59,-0.01,-0
Income Tax,0.16,0.09,0,0,0,0
Net Income,0.37,0.24,-0.72,-0.59,-0.01,-0
Shares Outstanding (Basic),15,15,15,13,3,3
Shares Outstanding (Diluted),15,15,15,13,3,3
Shares Change,490.24%,490.04%,-,-,-,-
EPS (Basic),0.03,0.02,-0.05,-0.05,-,-
EPS (Diluted),0.03,0.02,-0.05,-0.05,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.06,-0.00,-
Effective Tax Rate,30.20%,27.19%,-,-,-,-
EBITDA,0.54,0.33,-0.72,-0.59,-0.01,-0
EBIT,0.54,0.33,-0.72,-0.59,-0.01,-0
