Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2019-12-31
Revenue,57.25,58.35,50,46.74,43.28,45.63,38.15,33.99,32.77,24.69,15.38,15.45,-
Revenue Growth (YoY),32.28%,27.86%,31.07%,37.51%,32.08%,84.85%,148.00%,119.94%,-,-,-,-,-
Gross Profit,57.25,58.35,50,46.74,43.28,45.63,38.15,33.99,32.77,24.69,15.38,15.45,-
"Selling, General & Admin",40.5,40.13,28.02,22.07,22.61,19.38,16.72,14.55,13.97,10.26,6.99,6.95,-
Other Operating Expenses,11.88,12.42,11.72,8.91,9.07,13.94,10.36,11.02,10.24,14.66,6.2,5.17,0
Operating Expenses,52.38,52.55,39.74,30.97,31.68,33.32,27.08,25.57,24.22,24.92,13.19,12.12,-
Operating Income,4.87,5.79,10.26,15.77,11.6,12.32,11.06,8.41,8.55,-0.23,2.2,3.34,-
Interest Expense / Income,5.17,4.24,2.36,1.53,1.39,5.77,5.48,5.46,5.47,4.45,2.31,2.32,-
Other Expense / Income,0.05,-0.05,-0.18,-0.79,-0.33,15.38,0.24,0.24,0.21,0.44,0.15,0.15,-
Pretax Income,-0.35,1.61,8.09,15.03,10.55,-8.83,5.34,2.71,2.88,-5.12,-0.26,0.86,-
Income Tax,-0.96,-3.04,2.47,3.88,2.76,-10.22,1.76,0.73,0.66,-25.32,-0.18,-0.27,-
Net Income,0.61,4.64,5.62,11.15,7.79,1.4,3.58,1.98,2.22,20.21,-0.09,1.13,-
Net Income Growth,-92.24%,232.36%,56.72%,463.90%,251.78%,-93.09%,-,75.51%,-,-,-,-,-
Shares Outstanding (Basic),116,115,117,117,117,73,62,62,62,62,62,89,62
Shares Outstanding (Diluted),124,123,122,121,122,112,67,67,67,66,62,92,-
Shares Change,1.97%,9.08%,81.97%,81.27%,82.55%,69.45%,6.92%,-27.30%,6.58%,-,-,-,-
EPS (Basic),0.01,0.04,0.05,0.10,0.07,0.04,0.04,0.02,0.03,0.32,-,0.01,-
EPS (Diluted),0.01,0.04,0.05,0.09,0.06,-,0.04,0.02,0.02,0.32,-,0.01,-
EPS Growth,-83.33%,-,25.00%,350.00%,200.00%,-,-,100.00%,-,-,-,-,-
Free Cash Flow Per Share,0.17,0.15,0.17,0.13,0.06,0.11,0.37,0.13,0.15,-0.09,0.14,-,-
Dividend Per Share,-,0.030,0.030,0.030,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,8.51%,9.93%,20.52%,33.73%,26.81%,26.99%,29.01%,24.76%,26.10%,-0.94%,14.28%,21.59%,-
Profit Margin,1.06%,7.96%,11.23%,23.86%,18.00%,3.06%,9.40%,5.82%,6.76%,81.85%,-0.57%,7.29%,-
Free Cash Flow Margin,35.43%,29.76%,40.86%,32.36%,16.92%,18.11%,60.46%,23.86%,28.85%,-22.86%,56.67%,-,-
Effective Tax Rate,-,-189.28%,30.53%,25.80%,26.12%,-,32.92%,27.06%,22.98%,-,-,-31.05%,-
EBITDA,12.22,14.37,16.73,22.82,18.21,4.99,18.38,15.73,15.9,5.28,5.62,-,-
EBITDA Margin,21.35%,24.63%,33.46%,48.83%,42.07%,10.93%,48.18%,46.28%,48.51%,21.38%,36.55%,-,-
Depreciation & Amortization,7.4,8.53,6.28,6.26,6.28,8.05,7.55,7.55,7.55,5.94,3.58,-,-
EBIT,4.82,5.84,10.44,16.56,11.93,-3.06,10.83,8.18,8.35,-0.67,2.04,3.18,-
EBIT Margin,8.42%,10.01%,20.89%,35.43%,27.57%,-6.71%,28.38%,24.06%,25.47%,-2.70%,13.28%,20.60%,-
