Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.17,0.24,0.38,0.1,0,0,0
Operating Expenses,0.17,0.24,0.38,0.1,0,0,0
Operating Income,-0.17,-0.24,-0.38,-0.1,-0,-0,0
Other Expense / Income,-4.35,0.2,-6.73,0.73,-,-,-
Pretax Income,4.18,-0.44,6.35,-0.83,-0,-0,0
Net Income,4.18,-0.44,6.35,-0.83,-0,-0,0
Shares Outstanding (Basic),29,29,29,10,5,6,5
Shares Outstanding (Diluted),29,29,29,10,5,6,5
Shares Change,476.03%,360.00%,475.00%,-,-,-,-
EPS (Basic),0.28,-0.05,0.21,-0.98,-,-,-
EPS (Diluted),0.28,-0.05,0.21,-0.98,-,-,-
Free Cash Flow Per Share,-0.00,-0.01,-0.01,-0.06,-,-,-
EBITDA,4.18,-0.44,6.35,-0.83,-,-,0
EBIT,4.18,-0.44,6.35,-0.83,-0,-0,0
