Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.51,0.12,0.11,0.12,0.16,0,0
Operating Expenses,0.51,0.12,0.11,0.12,0.16,0,0
Operating Income,-0.51,-0.12,-0.11,-0.12,-0.16,-0,-0
Other Expense / Income,-0.56,-0.59,-0.31,-0.09,-0.01,-,-
Pretax Income,0.05,0.47,0.21,-0.03,-0.15,-0,-0
Net Income,0.05,0.47,0.21,-0.03,-0.15,-0,-0
Shares Outstanding (Basic),7,9,9,9,5,2,2
Shares Outstanding (Diluted),7,9,9,9,5,2,2
Shares Change,44.59%,480.29%,404.00%,-,-,-,-
EPS (Basic),-0.58,-0.33,-0.33,-0.35,-0.23,-,-
EPS (Diluted),-0.58,-0.33,-0.33,-0.35,-0.23,-,-
Free Cash Flow Per Share,-0.06,-0.00,-0.00,-0.01,-0.07,-,-
EBITDA,0.05,0.47,0.21,-0.03,-0.15,-0,-0
EBIT,0.05,0.47,0.21,-0.03,-0.15,-0,-0
