Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
"Selling, General & Admin",0.46,0.86,0.34,0.37,0.52,0,0,0,0,0
Operating Expenses,0.46,0.86,0.34,0.37,0.52,0,0,0,0,0
Operating Income,-0.46,-0.86,-0.34,-0.37,-0.52,-0,-0,0,-0,0
Other Expense / Income,-0.19,-0.52,-0.16,-0.01,0.06,-,-,-,-,-
Pretax Income,-0.27,-0.34,-0.19,-0.36,-0.58,-0,-0,0,-0,0
Income Tax,0.03,0.08,0,0,0,0,0,0,0,0
Net Income,-0.31,-0.42,-0.19,-0.36,-0.58,-0,-0,0,-0,0
Shares Outstanding (Basic),12,14,14,14,5,3,3,3,3,3
Shares Outstanding (Diluted),12,14,14,14,5,3,3,3,3,3
Shares Change,122.73%,392.91%,400.00%,400.00%,114.32%,15.00%,-,-,-,-
EPS (Basic),-0.04,-0.03,-0.01,-0.02,-0.11,-,-,-,-,-
EPS (Diluted),-0.04,-0.03,-0.01,-0.02,-0.11,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.02,-0.17,-,-,-,-,-
EBITDA,-0.27,-0.34,-0.19,-0.36,-0.58,-0,-0,0,-0,0
EBIT,-0.27,-0.34,-0.19,-0.36,-0.58,-0,-0,0,-0,0
