Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.23,0.55,0.28,0.21,0.55,0.01,0,0,0
Operating Expenses,0.23,0.55,0.28,0.21,0.55,0.01,0,0,0
Operating Income,-0.23,-0.55,-0.28,-0.21,-0.55,-0.01,0,0,0
Other Expense / Income,-0.94,-0.73,-0.41,-0.05,-0.04,-,-,-,-
Pretax Income,0.71,0.18,0.12,-0.17,-0.51,-0.01,0,0,0
Income Tax,0.19,0.14,0.07,0,0,0,0,0,0
Net Income,0.53,0.04,0.05,-0.17,-0.51,-0.01,0,0,0
Shares Outstanding (Basic),11,11,11,11,10,2,2,2,-
Shares Outstanding (Diluted),11,11,11,11,10,2,2,2,-
Shares Change,11.66%,475.20%,475.00%,475.00%,-,-,-,-,-
EPS (Basic),0.05,-,0.01,-0.02,-0.05,-,-,-,-
EPS (Diluted),0.05,-,0.01,-0.02,-0.05,-,-,-,-
Free Cash Flow Per Share,-0.05,-0.02,-0.02,-0.03,-0.05,-,-,-,-
Effective Tax Rate,26.21%,79.68%,56.77%,-,-,-,-,-,-
EBITDA,0.71,0.18,0.12,-0.17,-0.51,-0.01,0,0,0
EBIT,0.71,0.18,0.12,-0.17,-0.51,-0.01,0,0,0
