Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-29
"Selling, General & Admin",0.35,0.26,0.23,0.18,0.17,0.12,0.17,0,0
Operating Expenses,0.35,0.26,0.23,0.18,0.17,0.12,0.17,0,0
Operating Income,-0.35,-0.26,-0.23,-0.18,-0.17,-0.12,-0.17,-0,-0
Other Expense / Income,-0.44,-2.85,-2.34,-2.92,-0.53,0.15,-6.47,-,-
Pretax Income,0.09,2.59,2.11,2.74,0.36,-0.27,6.29,-0,-0
Income Tax,0.14,0.2,0,0,0,0,0,0,0
Net Income,-0.04,2.39,2.11,2.74,0.36,-0.27,6.29,-0,-0
Net Income Growth,-,-,-66.52%,-,-,-,-,-,-
Shares Outstanding (Basic),20,22,22,22,17,22,11,4,5
Shares Outstanding (Diluted),20,22,22,22,17,22,11,4,5
Shares Change,16.34%,-0.00%,97.99%,459.85%,247.91%,-,-,-,-
EPS (Basic),0.04,0.11,0.09,0.12,-0.03,-0.01,0.35,-,-
EPS (Diluted),0.04,0.11,0.09,0.12,-0.03,-0.01,0.35,-,-
EPS Growth,-,-,-74.29%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.03,-,-
Effective Tax Rate,146.91%,7.82%,-,-,-,-,-,-,-
EBITDA,0.09,2.59,2.11,2.74,0.36,-0.27,6.29,-0,-0
EBIT,0.09,2.59,2.11,2.74,0.36,-0.27,6.29,-0,-0
