Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.2,0.14,0.12,0.16,0,0,0
Operating Expenses,0.2,0.14,0.12,0.16,0,0,0
Operating Income,-0.2,-0.14,-0.12,-0.16,-0,0,-0
Other Expense / Income,-2.2,-1.73,-0.92,-0.22,-,-,-
Pretax Income,2,1.59,0.8,0.06,-0,0,-0
Net Income,2,1.59,0.8,0.06,-0,0,-0
Shares Outstanding (Basic),25,18,25,18,5,5,5
Shares Outstanding (Diluted),25,18,25,18,5,5,5
Shares Change,368.72%,246.33%,375.68%,-,-,-,-
EPS (Basic),-0.01,0.22,-1.25,-1.76,-,-,-
EPS (Diluted),-0.01,0.22,-1.25,-1.76,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.02,-,-,-
EBITDA,2,1.59,0.8,0.06,-0,0,-0
EBIT,2,1.59,0.8,0.06,-0,0,-0
