Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-28
"Selling, General & Admin",1.18,0.57,0.89,0.63,0.97,0.56,0.67,0.63,0.02,0
Operating Expenses,1.18,0.57,0.89,0.63,0.97,0.56,0.67,0.63,0.02,0
Operating Income,-1.18,-0.57,-0.89,-0.63,-0.97,-0.56,-0.67,-0.63,-0.02,-0
Other Expense / Income,-1.94,-2.92,-3.05,-2.93,-3,-2,-2.04,4.53,-0.29,-
Pretax Income,0.76,2.35,2.16,2.3,2.03,1.44,1.37,-5.17,0.27,-0
Income Tax,0.7,0.66,0.39,0.15,0,0,0,0,0,0
Net Income,0.06,1.69,1.77,2.15,2.03,1.44,1.37,-5.17,0.27,-0
Net Income Growth,-96.85%,17.42%,29.41%,-,653.94%,-,-,-,-,-
Shares Outstanding (Basic),36,43,43,43,43,43,43,43,12,8
Shares Outstanding (Diluted),36,43,43,43,43,43,43,43,12,8
Shares Change,-16.19%,0.06%,-,-,265.66%,473.05%,-,-,-,-
EPS (Basic),-,0.04,0.04,0.05,0.05,0.04,0.03,-0.12,0.02,-
EPS (Diluted),-,0.04,0.04,0.05,0.05,0.04,0.03,-0.12,0.02,-
EPS Growth,-,0%,33.33%,-,150.00%,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.02,-0.01,-0.01,-0.00,-0.01,-0.02,0.01,-
Effective Tax Rate,91.58%,28.14%,17.97%,6.56%,-,-,-,-,-,-
EBITDA,0.76,2.35,2.16,2.3,2.03,1.44,1.37,-5.17,0.27,-0
EBIT,0.76,2.35,2.16,2.3,2.03,1.44,1.37,-5.17,0.27,-0
