Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-09
"Selling, General & Admin",0.31,0.22,0.48,0,1.11,0.07,0,0
Other Operating Expenses,0.05,0.05,0.05,0.49,0.15,0,0,0
Operating Expenses,0.36,0.27,0.53,0.49,1.26,0.07,0,0
Operating Income,-0.36,-0.27,-0.53,-0.49,-1.26,-0.07,-0,-0
Other Expense / Income,-1.76,-1.77,-2.08,-2.43,-3.07,1.21,-,-
Pretax Income,1.4,1.5,1.55,1.94,1.81,-1.28,-0,-0
Income Tax,0.3,0.16,0,0,0,0,0,0
Net Income,1.11,1.34,1.55,1.94,1.81,-1.28,-0,-0
Net Income Growth,-38.88%,-,-,-,-,-,-,-
Shares Outstanding (Basic),19,19,19,19,11,11,4,4
Shares Outstanding (Diluted),19,19,19,19,11,11,4,4
Shares Change,63.48%,70.41%,371.90%,400.00%,-,-,-,-
EPS (Basic),0.06,0.07,0.08,0.10,0.22,-0.12,-,-
EPS (Diluted),0.06,0.07,0.08,0.10,0.22,-0.12,-,-
EPS Growth,-72.73%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-,-,-0.02,-0.00,-0.03,-0.07,-,-
Effective Tax Rate,21.16%,10.64%,-,-,-,-,-,-
EBITDA,1.4,1.5,1.55,1.94,1.81,-1.28,-0,-0
EBIT,1.4,1.5,1.55,1.94,1.81,-1.28,-0,-0
