Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.65,0.38,0.33,0.39,0.37,0.34,0.3,0.35,0.45,0
Operating Expenses,0.65,0.38,0.33,0.39,0.37,0.34,0.3,0.35,0.45,0
Operating Income,-0.65,-0.38,-0.33,-0.39,-0.37,-0.34,-0.3,-0.35,-0.45,-0
Other Expense / Income,3.32,-6.35,-4.06,-14.13,-11,3.06,-3,3.67,4.59,-
Pretax Income,-3.97,5.96,3.73,13.74,10.62,-3.39,2.7,-4.02,-5.04,-0
Net Income,-3.97,5.96,3.73,13.74,10.62,-3.39,2.7,-4.02,-5.04,-0
Net Income Growth,-,-,38.28%,-,-,-,-,-,-,-
Shares Outstanding (Basic),34,55,55,55,55,55,55,55,39,14
Shares Outstanding (Diluted),34,55,55,55,55,55,55,55,39,14
Shares Change,-39.17%,-0.08%,-,-,41.29%,308.51%,-,-,-,-
EPS (Basic),-0.12,0.11,0.07,0.25,0.19,-0.06,0.05,-0.07,-0.13,-
EPS (Diluted),-0.12,0.11,0.07,0.25,0.19,-0.06,0.05,-0.07,-0.13,-
EPS Growth,-,-,40.00%,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.01,-0.00,-0.00,-0.00,-0.00,-0.04,-
EBITDA,-3.97,5.96,3.73,13.74,10.62,-3.39,2.7,-4.02,-5.04,-0
EBIT,-3.97,5.96,3.73,13.74,10.62,-3.39,2.7,-4.02,-5.04,-0
