Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,+57 Quarters
Revenue,55.91,67.26,56.18,53.73,55.36,69.92,61.58,63.56,55.48,64.97,59.83,58.34,55.72,69.81,61.47,56.87,62.41,65.57,61.16,59.84,57.43,67.86,64.33,60.85,59.58,67.9,61.74,61.24,54.53,62.21,58.12,60.08,55.86,63.46,57.23,56.5,53.03,56.87,53.62,53.61,Upgrade
Revenue Growth (YoY),1.01%,-3.81%,-8.78%,-15.46%,-0.23%,7.62%,2.94%,8.94%,-0.43%,-6.93%,-2.67%,2.59%,-10.71%,6.46%,0.50%,-4.97%,8.66%,-3.38%,-4.93%,-1.66%,-3.61%,-0.06%,4.19%,-0.63%,9.27%,9.16%,6.22%,1.93%,-2.39%,-1.98%,1.56%,6.33%,5.33%,11.60%,6.74%,5.40%,7.04%,5.17%,2.75%,8.08%,Upgrade
Cost of Revenue,31.31,42.03,39.21,37.99,30.57,43.82,44.35,37.06,37.13,43.62,38.57,37.32,37.15,43.43,36.72,37.92,36.51,41.24,28.32,38.79,37.07,46.7,42.66,38.27,37.56,46.01,41.63,40.16,36.28,44.61,41.52,41.54,39.01,45.85,39.21,39.06,36.26,40.96,36.52,36.79,Upgrade
Gross Profit,24.61,25.22,16.97,15.74,24.79,26.1,17.23,26.5,18.36,21.35,21.26,21.02,18.57,26.38,24.75,18.95,25.89,24.33,32.84,21.06,20.37,21.16,21.67,22.58,22.02,21.89,20.11,21.08,18.25,17.59,16.6,18.54,16.85,17.61,18.02,17.44,16.78,15.9,17.09,16.82,Upgrade
"Selling, General & Admin",17.73,22.7,21.48,19.11,17.48,20.04,19.67,20.59,20.74,23.11,28.97,20.18,20.44,21.1,22.26,21.85,23.47,25.42,26.91,24.7,17.11,29.8,17.92,20.01,20.56,21.79,14.86,18.12,19.01,18.36,16.14,18.86,15.85,25.46,14.3,15.32,14.55,13.9,13.79,14.46,Upgrade
Other Operating Expenses,0.16,0.2,0.28,0.26,0.13,12.87,0.28,0.31,0.37,0.59,0.46,0.4,0.37,0.35,0.36,0.42,0.42,0.94,0.37,0.47,0.68,0.5,0.64,0.48,0.52,0.48,0.64,0.4,0.55,0.55,0.61,0.52,0.65,0.58,0.45,0.61,0.53,0.59,0.68,0.56,Upgrade
Operating Expenses,17.89,22.9,21.76,19.37,17.61,32.91,19.96,20.9,21.1,23.7,29.43,20.58,20.8,21.45,22.62,22.27,23.88,26.36,27.28,25.17,17.79,30.3,18.56,20.48,21.07,22.27,15.5,18.52,19.55,18.91,16.74,19.38,16.5,26.04,14.75,15.94,15.08,14.49,14.48,15.02,Upgrade
Operating Income,6.72,2.32,-4.79,-3.63,7.18,-6.81,-2.73,5.6,-2.75,-2.35,-8.17,0.44,-2.24,4.93,2.13,-3.32,2.01,-2.03,5.56,-4.11,2.58,-9.14,3.11,2.1,0.94,-0.37,4.61,2.56,-1.31,-1.32,-0.14,-0.84,0.35,-8.43,3.28,1.51,1.69,1.41,2.62,1.8,Upgrade
Pretax Income,6.72,2.32,-4.79,-3.63,7.18,-6.81,-2.73,5.6,-2.75,-2.35,-8.17,0.44,-2.24,4.93,2.13,-3.32,2.01,-2.03,5.56,-4.11,2.58,-9.14,3.11,2.1,0.94,-0.37,4.61,2.56,-1.31,-1.32,-0.14,-0.84,0.35,-8.43,3.28,1.51,1.69,1.41,2.62,1.8,Upgrade
Income Tax,1.84,-1.05,0.34,-0.08,0.73,-44.95,0.07,0.58,0.83,-3.89,-0.26,1.47,1.35,-0.02,0.09,1.24,5.81,-8.24,12.67,-1.55,2.54,35.07,-0.34,1.52,-1.11,-0.49,1.85,1.08,1.08,0.44,-0.24,1.08,-0.08,2.22,0.95,0.36,0.49,0.6,0.79,0.49,Upgrade
Net Income,4.87,3.37,-5.13,-3.55,6.45,38.14,-2.8,5.02,-3.57,1.54,-7.92,-1.03,-3.58,4.95,2.05,-4.57,-3.8,6.21,-7.11,-2.56,0.04,-44.2,3.45,0.57,2.06,0.12,2.76,1.48,-2.39,-1.76,0.1,-1.91,0.43,-10.64,2.32,1.15,1.2,0.81,1.82,1.31,Upgrade
Net Income Growth,-24.45%,-91.15%,-,-,-,2379.65%,-,-,-,-68.94%,-,-,-,-20.31%,-,-,-,-,-,-,-98.20%,-,24.87%,-61.40%,-,-,2581.55%,-,-,-,-95.57%,-,-64.49%,-,27.41%,-12.01%,39.84%,-,-37.34%,224.32%,Upgrade
Shares Outstanding (Basic),50,50,50,51,49,50,50,50,51,54,53,53,53,53,53,53,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,Upgrade
