Metrics,2022-12-31,2022-06-30,2021-12-31,2021-06-30,2020-12-31,2020-09-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31
Revenue,-,-,-,-,-,-,803.77,423.96,-,609.81,-511.11,-
Cost of Revenue,-,-,-,-,-,-,40.56,23.57,-,5.54,16.91,-
Gross Profit,-,-,-,-,-,-,763.21,400.39,-,604.27,-528.03,-
"Selling, General & Admin",-,-,-,-,-,-,16.51,30.28,-,7.05,18.17,-
Other Operating Expenses,0,0,0,0,0,0,7.47,-7.23,0,15.39,-0,0
Operating Expenses,-,-,-,-,-,-,23.97,23.06,-,22.44,18.17,-
Operating Income,-,-,-,-,-,-,739.24,377.33,-,581.83,-546.19,-
Interest Expense / Income,-,-,-,-,-,-,-16.16,5.39,-,-6.55,0,-
Other Expense / Income,-,-,-,-,-,-,647.22,-,-,-131.76,-97.33,-
Pretax Income,-,-,-,-,-,-,108.18,371.95,-,720.14,-448.87,-
Income Tax,-,-,-,-,-,-,18.62,64.49,-,135.43,-89.72,-
Net Income,-,-,-,-,-,-,89.56,307.46,-,584.7,-359.14,-
Shares Outstanding (Basic),378,246,246,246,246,246,231,231,231,231,-,-
Shares Change,53.74%,-,6.48%,6.48%,6.48%,6.48%,-,-,-,-,-,-
EPS (Basic),-,-,-,-,-,-,0.60,2.74,-,-,-2.42,-
EPS (Diluted),-,-,-,-,-,-,0.60,2.74,-,-,-2.42,-
Free Cash Flow Per Share,-,-,-,-,-,-,1.46,-,-,-2.66,-,-
Gross Margin,-,-,-,-,-,-,94.95%,94.44%,-,99.09%,-,-
Operating Margin,-,-,-,-,-,-,91.97%,89.00%,-,95.41%,-,-
Profit Margin,-,-,-,-,-,-,11.14%,72.52%,-,95.88%,-,-
Free Cash Flow Margin,-,-,-,-,-,-,20.89%,-,-,-50.36%,-,-
Effective Tax Rate,-,-,-,-,-,-,17.21%,17.34%,-,18.81%,-,-
EBITDA,-,-,-,-,-,-,92.03,-,-,713.66,-,-
EBITDA Margin,-,-,-,-,-,-,11.45%,-,-,117.03%,-,-
Depreciation & Amortization,-,-,-,-,-,-,0.01,-,-,0.07,-,-
EBIT,-,-,-,-,-,-,92.02,377.33,-,713.59,-448.87,-
EBIT Margin,-,-,-,-,-,-,11.45%,89.00%,-,117.02%,-,-
