Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.29,0.18,0.18,0.19,0.08,0,0.03
Operating Expenses,0.29,0.18,0.18,0.19,0.08,0,0.03
Operating Income,-0.29,-0.18,-0.18,-0.19,-0.08,0,-0.03
Other Expense / Income,-1.7,-0.9,-0.27,-0.01,-,-,-
Pretax Income,1.41,0.72,0.08,-0.18,-0.08,0,-0.03
Net Income,1.41,0.72,0.08,-0.18,-0.08,0,-0.03
Shares Outstanding (Basic),25,25,25,25,7,4,4
Shares Outstanding (Diluted),25,25,25,25,7,4,4
Shares Change,235.25%,471.43%,555.84%,-,-,-,-
EPS (Basic),-0.01,-0.01,-0.01,-0.01,-0.68,-,-0.01
EPS (Diluted),-0.01,-0.01,-0.01,-0.01,-0.68,-,-0.01
Free Cash Flow Per Share,0.11,-0.01,-0.00,-0.03,0.01,-,-
EBITDA,1.41,0.72,0.08,-0.18,-0.08,0,-0.03
EBIT,1.41,0.72,0.08,-0.18,-0.08,0,-0.03
