Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.43,0.33,0.25,2.29,2.04,6.03,0.01,0.01
Operating Expenses,0.43,0.33,0.25,2.29,2.04,6.03,0.01,0.01
Operating Income,-0.43,-0.33,-0.25,-2.29,-2.04,-6.03,-0.01,-0.01
Other Expense / Income,-2.96,-0.83,-1.61,-9.91,4.89,-9.4,-,-
Pretax Income,2.53,0.51,1.36,7.62,-6.93,3.37,-0.01,-0.01
Net Income,2.53,0.51,1.36,7.62,-6.93,3.37,-0.01,-0.01
Net Income Growth,-,-85.02%,-,-,-,-,-,-
Shares Outstanding (Basic),21,21,21,21,13,17,4,4
Shares Outstanding (Diluted),21,21,21,21,13,17,4,4
Shares Change,58.49%,22.86%,463.33%,463.33%,-,-,-,-
EPS (Basic),0.12,0.02,0.06,0.36,-0.61,0.20,-,-
EPS (Diluted),0.12,0.02,0.06,0.36,-0.61,0.20,-,-
EPS Growth,-,-90.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.02,-0.04,-,-,-0.01,-
EBITDA,2.53,0.51,1.36,7.62,-,-,-0.01,-0.01
EBIT,2.53,0.51,1.36,7.62,-6.93,3.37,-0.01,-0.01
