Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2021-01-11
"Selling, General & Admin",0.71,0.14,0.17,0.17,0.21,0.33,0.22,0.35,0.11,0.01
Operating Expenses,0.71,0.14,0.17,0.17,0.21,0.33,0.22,0.35,0.11,0.01
Operating Income,-0.71,-0.14,-0.17,-0.17,-0.21,-0.33,-0.22,-0.35,-0.11,-0.01
Other Expense / Income,-3.63,-3.81,-2.04,-0.6,-0.04,-0.01,-0.01,-0.02,-0,-
Pretax Income,2.93,3.67,1.87,0.43,-0.17,-0.32,-0.22,-0.33,-0.11,-0.01
Net Income,2.93,3.67,1.87,0.43,-0.17,-0.32,-0.22,-0.33,-0.11,-0.01
Shares Outstanding (Basic),46,57,57,57,57,58,57,57,23,10
Shares Outstanding (Diluted),46,57,57,57,57,58,57,57,23,10
Shares Change,-19.11%,-0.67%,-,-,151.81%,477.35%,-,-,-,-
EPS (Basic),0.06,0.06,0.03,0.01,-,-0.01,-,-0.01,-,-
EPS (Diluted),0.06,0.06,0.03,0.01,-,-0.01,-,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.01,-0.03,-
EBITDA,2.93,3.67,1.87,0.43,-0.17,-0.32,-0.22,-0.33,-0.11,-0.01
EBIT,2.93,3.67,1.87,0.43,-0.17,-0.32,-0.22,-0.33,-0.11,-0.01
