Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.42,0.29,0.27,0.32,0.06,0
Other Operating Expenses,0.05,0.05,0.05,0.05,0.07,0
Operating Expenses,0.47,0.34,0.32,0.37,0.13,0
Operating Income,-0.47,-0.34,-0.32,-0.37,-0.13,-0
Other Expense / Income,-2.17,-1.16,-0.35,-0.03,-0,-
Pretax Income,1.69,0.81,0.03,-0.35,-0.13,-0
Income Tax,0.46,0.23,0.05,-0.01,-0.01,0
Net Income,1.23,0.58,-0.02,-0.34,-0.12,-0
Shares Outstanding (Basic),35,35,35,35,11,9
Shares Outstanding (Diluted),35,35,35,35,11,9
Shares Change,222.32%,302.40%,-,-,-,-
EPS (Basic),0.03,0.02,-,-0.01,-0.01,-
EPS (Diluted),0.03,0.02,-,-0.01,-0.01,-
Free Cash Flow Per Share,-0.00,-0.01,-0.00,-0.02,-0.00,-
Effective Tax Rate,27.08%,28.59%,170.00%,-,-,-
EBITDA,1.69,0.81,0.03,-0.35,-0.13,-
EBIT,1.69,0.81,0.03,-0.35,-0.13,-0
