Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,5.71,6.94,6.52,6.6,6.29,6.19,6,5.92,5.84,6.41,5.55,5.05,3.93,3.63,3.72
Revenue Growth (YoY),-9.20%,12.01%,8.77%,11.46%,7.69%,-3.32%,8.03%,17.28%,48.39%,76.55%,49.22%,-,-,-,-
Gross Profit,5.71,6.94,6.52,6.6,6.29,6.19,6,5.92,5.84,6.41,5.55,5.05,3.93,3.63,3.72
"Selling, General & Admin",4.51,4.6,4.46,4.02,4.22,3.94,3.81,3.84,3.72,3.69,3.74,2.97,2.31,2.35,2.17
Other Operating Expenses,1.06,1.06,1.1,1.25,1.08,0.9,1.06,1.26,0.77,0.97,1,3.85,0.58,0.69,0.48
Operating Expenses,5.57,5.66,5.56,5.27,5.3,4.84,4.87,5.1,4.5,4.66,4.74,6.82,2.89,3.04,2.65
Operating Income,0.14,1.28,0.96,1.34,0.98,1.36,1.13,0.82,1.34,1.75,0.82,-1.77,1.05,0.59,1.07
Pretax Income,0.14,1.28,0.96,1.34,0.98,1.36,1.13,0.82,1.34,1.75,0.82,-1.77,1.05,0.59,1.07
Income Tax,-0.05,0.22,-0.07,0.26,0.16,0.18,-0.03,0.16,0.27,0.37,0.15,-0.48,0.21,-0.34,0.22
Net Income,0.18,1.06,1.03,1.08,0.82,1.18,1.16,0.67,1.07,1.38,0.67,-1.29,0.84,0.93,0.85
Net Income Growth,-77.79%,-9.70%,-11.47%,61.86%,-22.77%,-14.61%,73.13%,-,27.48%,48.12%,-21.55%,-,-,-,-
Shares Outstanding (Basic),14,14,15,15,15,15,15,15,15,15,15,-,-,-,-
Shares Change,-7.55%,-5.44%,-3.38%,-0.90%,-0.00%,-0.00%,-0.00%,-,-,-,-,-,-,-,-
EPS (Basic),0.01,0.08,0.08,0.08,0.06,0.08,0.08,0.05,0.07,0.09,0.05,-0.10,0.06,0.23,0.21
EPS (Diluted),0.01,0.08,0.08,0.08,0.06,0.08,0.08,0.05,0.07,0.09,0.05,-0.10,0.06,0.23,0.21
EPS Growth,-83.33%,0%,0%,60.00%,-14.29%,-11.11%,60.00%,-,16.67%,-60.87%,-76.19%,-,-,-,-
Free Cash Flow Per Share,0.04,0.14,0.18,0.07,0.06,0.08,0.05,0.10,0.12,-0.00,-0.05,-,-,-,-
Dividend Per Share,-,0.030,0.030,0.030,0.030,-,0.300,-,-,-,-,-,-,-,-
Dividend Growth,-,-,-90.00%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,2.42%,18.42%,14.72%,20.23%,15.66%,21.88%,18.84%,13.91%,22.96%,27.25%,14.70%,-35.06%,26.62%,16.29%,28.87%
Profit Margin,3.21%,15.29%,15.74%,16.33%,13.11%,18.97%,19.34%,11.24%,18.28%,21.48%,12.07%,-25.58%,21.28%,25.60%,22.96%
Free Cash Flow Margin,10.92%,28.80%,39.86%,16.49%,15.13%,18.79%,13.69%,26.43%,31.73%,-0.27%,-14.70%,-37.60%,3.66%,-1.65%,4.27%
Effective Tax Rate,-32.61%,16.98%,-6.98%,19.31%,16.26%,13.28%,-2.65%,19.17%,20.37%,21.19%,17.89%,-,20.06%,-57.19%,20.48%
EBITDA,0.42,1.65,1.27,1.65,1.29,1.65,1.42,1.12,1.63,2.03,1.19,-1.46,1.23,0.76,1.23
EBITDA Margin,7.32%,23.72%,19.52%,24.91%,20.56%,26.64%,23.65%,18.82%,27.98%,31.67%,21.42%,-28.85%,31.25%,21.00%,33.09%
Depreciation & Amortization,0.28,0.37,0.31,0.31,0.31,0.3,0.29,0.29,0.29,0.28,0.37,0.31,0.18,0.17,0.16
EBIT,0.14,1.28,0.96,1.34,0.98,1.36,1.13,0.82,1.34,1.75,0.82,-1.77,1.05,0.59,1.07
EBIT Margin,2.42%,18.42%,14.72%,20.23%,15.66%,21.88%,18.84%,13.91%,22.96%,27.25%,14.70%,-35.06%,26.62%,16.29%,28.87%
