Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.24,0.28,0.36,0.23,0.28,0.9,0.24,0.12,0
Operating Expenses,0.24,0.28,0.36,0.23,0.28,0.9,0.24,0.12,0
Operating Income,-0.24,-0.28,-0.36,-0.23,-0.28,-0.9,-0.24,-0.12,-0
Other Expense / Income,-2.87,-3.13,-3.24,-4.75,-0.73,-3.59,4.15,-17.1,-
Pretax Income,2.63,2.85,2.88,4.52,0.46,2.68,-4.39,16.98,-0
Net Income,2.63,2.85,2.88,4.52,0.46,2.68,-4.39,16.98,-0
Net Income Growth,475.98%,6.31%,-,-73.40%,-,-,-,-,-
Shares Outstanding (Basic),39,39,39,39,39,39,39,29,8
Shares Outstanding (Diluted),39,39,39,39,39,39,39,29,8
Shares Change,-0.07%,-,-,35.11%,417.03%,-,-,-,-
EPS (Basic),0.07,0.07,0.07,0.12,-,0.07,-0.11,0.59,-
EPS (Diluted),0.07,0.07,0.07,0.12,-,0.07,-0.11,0.59,-
EPS Growth,-,0%,-,-79.66%,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.00,-0.01,-0.00,-0.00,-0.03,-
EBITDA,2.63,2.85,2.88,4.52,0.46,2.68,-4.39,16.98,-0
EBIT,2.63,2.85,2.88,4.52,0.46,2.68,-4.39,16.98,-0
