Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.41,0.2,0.11,0.07,0.02,0.01,0.01
Operating Expenses,0.41,0.2,0.11,0.07,0.02,0.01,0.01
Operating Income,-0.41,-0.2,-0.11,-0.07,-0.02,-0.01,-0.01
Other Expense / Income,-0.53,-0.36,-0.11,-0.01,-0,-,-
Pretax Income,0.11,0.16,-0,-0.06,-0.02,-0.01,-0.01
Net Income,0.11,0.16,-0,-0.06,-0.02,-0.01,-0.01
Shares Outstanding (Basic),8,10,6,10,3,2,2
Shares Outstanding (Diluted),8,10,6,10,3,2,2
Shares Change,144.29%,441.13%,245.48%,-,-,-,-
EPS (Basic),0.01,0.02,0.01,-0.01,-,-,-
EPS (Diluted),0.01,0.02,0.01,-0.01,-,-,-
Free Cash Flow Per Share,-0.03,-0.01,-0.01,-0.03,0.02,-0.00,-
EBITDA,0.11,0.16,-0,-0.06,-0.02,-0.01,-0.01
EBIT,0.11,0.16,-0,-0.06,-0.02,-0.01,-0.01
