Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30
Revenue,44.62,41.98,39.69,42.73,39.51,48.44,41.94,43.97,42.24,38.33,36.54,36.66,36.31,31.44,34.62,36.05,33.19,30.65,31.48,32.02
Revenue Growth (YoY),12.93%,-13.34%,-5.35%,-2.81%,-6.45%,26.38%,14.79%,19.94%,16.31%,21.92%,5.54%,1.67%,9.40%,2.56%,9.95%,12.61%,-,-,-,-
Cost of Revenue,17.06,20.56,18.15,16.05,15.53,19.88,19.94,18.18,22.67,20.62,16.95,21.7,21.54,13.94,17.14,16.92,17.05,17.36,14.41,14.41
Gross Profit,27.56,21.42,21.54,26.69,23.99,28.56,22,25.79,19.56,17.71,19.58,14.96,14.77,17.5,17.47,19.13,16.15,13.29,17.07,17.61
"Selling, General & Admin",3.65,5.21,4.09,4.24,4.91,7.75,3.3,3.94,3.24,4.77,4.43,3.79,0.98,3.86,3.03,3.38,3.14,3.18,2.71,2.79
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.04,0.04,0.04
Operating Expenses,3.65,5.21,4.09,4.24,4.91,7.75,3.3,3.94,3.24,4.77,4.43,3.79,0.98,3.86,3.03,3.38,3.16,3.22,2.75,2.83
Operating Income,23.91,16.21,17.46,22.45,19.07,20.81,18.7,21.85,16.32,12.95,15.15,11.17,13.79,13.64,14.45,15.75,12.99,10.08,14.32,14.78
Other Expense / Income,25.77,24.9,23.13,24.57,25.15,24.1,24.54,22.75,23.33,19.71,18.47,18.66,23.53,16.16,23.57,18.38,18.91,15.09,18.23,18.13
Pretax Income,-1.86,-8.69,-5.68,-2.13,-6.08,-3.29,-5.84,-0.9,-7.01,-6.77,-3.31,-7.49,-9.74,-2.52,-9.13,-2.63,-5.92,-5.02,-3.92,-3.35
Income Tax,0.03,-1.32,-0.59,0.22,-0.42,0.55,-0.25,0.26,-0.94,-0.34,-0.06,-0.72,-1.16,-0.57,-0.59,-0.03,0.31,-0.44,-1.05,-0.22
Net Income,-1.88,-7.36,-5.09,-2.35,-5.66,-3.84,-5.59,-1.16,-6.07,-6.42,-3.26,-6.77,-8.58,-1.95,-8.54,-2.6,-6.24,-4.58,-2.87,-3.13
Shares Outstanding (Basic),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-
Shares Outstanding (Diluted),15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,-
EPS (Basic),-0.13,-0.50,-0.34,-0.16,-0.38,-0.26,-0.38,-0.08,-0.41,-0.43,-0.22,-0.46,-0.58,-0.13,-0.57,-0.17,-0.42,-0.31,-0.19,-
EPS (Diluted),-0.13,-0.50,-0.34,-0.16,-0.38,-0.26,-0.38,-0.08,-0.41,-0.43,-0.22,-0.46,-0.58,-0.13,-0.57,-0.17,-0.42,-0.31,-0.19,-
Free Cash Flow Per Share,-0.36,-0.02,0.14,-0.24,-0.37,-0.14,0.61,0.39,-0.91,0.21,-0.22,0.37,-0.01,0.27,0.01,0.29,-0.76,0.59,0.15,-
Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,-,6.250,-,-,-,-,-,-
Gross Margin,61.77%,51.02%,54.27%,62.45%,60.71%,58.95%,52.46%,58.65%,46.32%,46.21%,53.60%,40.81%,40.67%,55.66%,50.48%,53.06%,48.65%,43.36%,54.22%,55.00%
Operating Margin,53.59%,38.62%,43.98%,52.53%,48.27%,42.95%,44.60%,49.69%,38.65%,33.78%,41.48%,30.47%,37.98%,43.39%,41.73%,43.68%,39.12%,32.87%,45.47%,46.16%
Profit Margin,-4.22%,-17.54%,-12.81%,-5.50%,-14.33%,-7.93%,-13.32%,-2.65%,-14.36%,-16.76%,-8.91%,-18.47%,-23.62%,-6.21%,-24.66%,-7.21%,-18.78%,-14.95%,-9.10%,-9.79%
Free Cash Flow Margin,-12.00%,-0.66%,5.05%,-8.27%,-14.08%,-4.25%,21.52%,13.18%,-32.09%,8.33%,-9.10%,15.06%,-0.24%,12.55%,0.61%,11.88%,-33.84%,28.47%,7.14%,-
EBITDA,-0.63,-7.77,-4.74,-1.08,-4.88,-2.45,-4.96,-0.1,-6.2,-5.87,-2.69,-6.82,-9.14,-2.31,-8.82,-2.16,-5.47,-4.88,-3.25,-
EBITDA Margin,-1.42%,-18.51%,-11.94%,-2.52%,-12.35%,-5.06%,-11.83%,-0.23%,-14.68%,-15.32%,-7.36%,-18.60%,-25.18%,-7.34%,-25.48%,-5.99%,-16.47%,-15.91%,-10.31%,-
Depreciation & Amortization,1.22,0.92,0.94,1.05,1.2,0.85,0.87,0.8,0.81,0.9,0.62,0.67,0.59,0.21,0.31,0.47,0.45,0.14,0.67,-
EBIT,-1.86,-8.69,-5.68,-2.13,-6.08,-3.29,-5.84,-0.9,-7.01,-6.77,-3.31,-7.49,-9.74,-2.52,-9.13,-2.63,-5.92,-5.02,-3.92,-3.35
EBIT Margin,-4.16%,-20.70%,-14.30%,-4.98%,-15.39%,-6.80%,-13.91%,-2.04%,-16.59%,-17.65%,-9.07%,-20.43%,-26.81%,-8.01%,-26.37%,-7.29%,-17.84%,-16.37%,-12.44%,-10.47%
