Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31
Revenue,33.63,34.95,29.7,27.43,27.35,25.87,21.23,20.32,19.97,23.42,23.13,23.8,20.84,21.27,15.69,18.94,17.49,17.8,17.68,16.55,12.62,11.11,10.42,15.68,14.3,10.65,12.5,9.41,11.08,11.43,9.25,11.61,9.81,10.69,7.86,6.8,1.31
Revenue Growth (YoY),22.96%,35.09%,39.91%,34.97%,36.92%,10.45%,-8.21%,-14.60%,-4.16%,10.15%,47.39%,25.63%,19.15%,19.47%,-11.25%,14.43%,38.61%,60.28%,69.67%,5.55%,-11.78%,4.28%,-16.66%,66.74%,29.11%,-6.81%,35.23%,-18.96%,12.96%,6.89%,17.65%,70.75%,649.85%,-,-,-,-
Cost of Revenue,4.31,4.2,4.03,7.06,7.1,6.49,5.65,5.5,5.15,5.85,6.4,6.12,2.77,3.83,4.02,4.61,4.24,4.28,4.35,3.97,3.02,2.56,2.63,3.65,3.05,2.66,2.94,1.34,1.37,2.83,1.66,2.98,2.32,2.47,1.79,1.04,0.14
Gross Profit,29.32,30.75,25.67,20.36,20.25,19.38,15.58,14.83,14.82,17.57,16.73,17.68,18.07,17.44,11.68,14.34,13.25,13.52,13.33,12.58,9.6,8.55,7.79,12.04,11.26,7.99,9.56,8.07,9.71,8.6,7.59,8.63,7.49,8.22,6.07,5.76,1.16
"Selling, General & Admin",1.49,1.87,1.65,1.58,1.6,1.69,1.59,1.28,1.57,2.19,1.01,1.83,1.67,2.35,1.36,1.2,1.13,1.4,1.18,1.25,1.14,1.2,1.11,1.05,0.94,1.04,1.03,1.21,1.19,0.98,1.05,1.13,1.19,0.98,0.95,1.13,0.17
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.22,0.21,0.01,-0.3,-0.22,0.23,0.28,0.28
Operating Expenses,1.49,1.87,1.65,1.58,1.6,1.69,1.59,1.28,1.57,2.19,1.01,1.83,1.67,2.35,1.36,1.2,1.13,1.4,1.18,1.25,1.14,1.2,1.11,1.05,0.94,1.04,1.03,1.21,1.19,0.76,1.26,1.14,0.9,0.76,1.18,1.41,0.44
Operating Income,27.82,28.88,24.01,18.78,18.65,17.69,13.99,13.54,13.26,15.39,15.71,15.85,16.4,15.09,10.32,13.13,12.12,12.12,12.15,11.33,8.47,7.35,6.67,10.98,10.32,6.96,8.53,6.86,8.52,7.84,6.33,7.49,6.59,7.46,4.89,4.35,0.72
Interest Expense / Income,9.25,8.38,7.15,6.13,5.1,4.79,4.1,4.14,4.35,3.51,3.51,4.31,4.16,3.99,3.2,3.01,2.2,1.89,2.14,2.53,2.52,2.2,2.31,2.15,2.41,2.13,2.04,1.9,1.79,1.79,1.66,1.19,1.64,1.6,1.37,0.93,0.15
Other Expense / Income,10.9,32.29,16.43,27.07,7.84,-0.95,-28.97,-2.58,-2.95,7.12,-2.24,-9.69,17.36,5.46,15.93,-13.74,-1.15,0.92,-0.9,0.41,-2,1.3,0.69,0.91,4.14,-2.12,-4.94,4.96,13.99,6.03,-1.04,-0.75,2.21,1.08,-1.15,-1.41,-1.37
