Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",1.61,0.33,0.36,0.36,0.42,0.36,0.31,0.03
Operating Expenses,1.61,0.33,0.36,0.36,0.42,0.36,0.31,0.03
Operating Income,-1.61,-0.33,-0.36,-0.36,-0.42,-0.36,-0.31,-0.03
Other Expense / Income,-1.94,-0.86,-0.12,-0.01,-0.01,-0.01,-,-
Pretax Income,0.34,0.53,-0.24,-0.35,-0.41,-0.36,-0.31,-0.03
Net Income,0.34,0.53,-0.24,-0.35,-0.41,-0.36,-0.31,-0.03
Shares Outstanding (Basic),35,35,35,35,26,35,17,5
Shares Outstanding (Diluted),35,35,35,35,26,35,17,5
Shares Change,33.79%,-,102.58%,542.92%,-,-,-,-
EPS (Basic),0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-
EPS (Diluted),0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.02,-
Free Cash Flow Per Share,0.00,-0.00,-0.00,-0.00,-0.00,-0.00,-0.11,-
EBITDA,0.34,0.53,-0.24,-0.35,-0.41,-0.36,-0.31,-0.03
EBIT,0.34,0.53,-0.24,-0.35,-0.41,-0.36,-0.31,-0.03
