Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.55,0.4,0.34,0.32,0.32,0.76,0.05
Operating Expenses,0.55,0.4,0.34,0.32,0.32,0.76,0.05
Operating Income,-0.55,-0.4,-0.34,-0.32,-0.32,-0.76,-0.05
Other Expense / Income,-0.87,-3.41,-1.48,-1.99,-6.15,-2.99,-
Pretax Income,0.32,3.01,1.14,1.67,5.82,2.24,-0.05
Net Income,0.32,3.01,1.14,1.67,5.82,2.24,-0.05
Net Income Growth,-94.49%,34.79%,-,-,-,-,-
Shares Outstanding (Basic),23,29,29,29,29,8,5
Shares Outstanding (Diluted),23,29,29,29,29,8,5
Shares Change,-21.21%,265.55%,475.00%,-,-,-,-
EPS (Basic),0.01,0.11,0.04,0.06,0.20,0.28,-0.01
EPS (Diluted),0.01,0.11,0.04,0.06,0.20,0.28,-0.01
EPS Growth,-95.00%,-60.71%,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.09,-
EBITDA,0.32,3.01,1.14,1.67,5.82,2.24,-0.05
EBIT,0.32,3.01,1.14,1.67,5.82,2.24,-0.05
