Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
Revenue,160.07,110.16,105.45,201.82,378.89,347.37,412.09,515.7,713.64,849.42,"1,167.05",957.86,"1,931.57","2,590.92","2,220.7","2,096.86","1,803.16","1,928.91","2,243.65","1,716.62","1,491.22","1,451.01",998.4,834.74,-,355.64,-
Revenue Growth (YoY),-57.75%,-68.29%,-74.41%,-60.87%,-46.91%,-59.11%,-64.69%,-46.16%,-63.05%,-67.22%,-47.45%,-54.32%,7.12%,34.32%,-1.02%,22.15%,20.92%,32.94%,124.73%,105.65%,-,307.99%,-,-,-,-,-
Cost of Revenue,73.65,236.23,41.08,32.13,38.27,104.55,64.89,91.01,201.57,198.79,366.38,95.62,148.83,206.34,286.14,260.49,402.69,698.52,947.82,686.4,305.36,258.92,194.3,122.27,-,68.41,-
Gross Profit,86.42,-126.07,64.36,169.69,340.61,242.81,347.2,424.69,512.07,650.64,800.67,862.25,"1,782.74","2,384.58","1,934.56","1,836.38","1,400.47","1,230.39","1,295.83","1,030.22","1,185.86","1,192.09",804.1,712.47,-,287.24,-
"Selling, General & Admin",89.6,239.92,88.04,141.51,137.59,190.56,138.25,104.25,88.59,123.1,232.14,135.36,128.26,130.61,145.06,162.75,219.48,168.3,229.7,178.93,158.66,239,122.42,95.36,-,50.46,-
Research & Development,2.54,17.39,18.77,19.58,22.8,40.07,39.2,39.19,8.6,51.1,56.27,54.73,34.29,44.1,62.88,63.51,77.94,41.24,36.86,43.52,37.11,52.66,38.45,25.04,-,11.9,-
Other Operating Expenses,-71.8,-83.58,-13.09,75.03,132.38,-70.63,-157.49,-183.56,-331.72,-291.32,199.9,"1,633.29","1,334.52","1,049.14",462.41,471.98,216.69,318.04,255.5,481.34,430.96,204.62,35.32,33.71,0,31.24,0
Operating Expenses,20.33,173.72,93.72,236.12,292.78,159.99,19.97,-40.12,-234.53,-117.12,488.3,"1,823.37","1,497.07","1,223.85",670.35,698.24,514.11,527.58,522.05,703.8,626.73,496.27,196.18,154.11,-,93.6,-
Operating Income,66.08,-299.79,-29.36,-66.43,47.84,82.82,327.23,464.81,746.6,767.76,312.37,-961.12,285.67,"1,160.74","1,264.21","1,138.14",886.36,702.81,773.78,326.42,559.13,695.81,607.92,558.36,-,193.64,-
Other Expense / Income,-497.56,430.47,24.87,-17.75,57.4,126.64,-18.17,-92.73,-3.73,44.23,50.83,-446.53,67.05,-67.27,-31.82,-9.73,42.32,26.92,-30.83,1.91,0.29,-0.83,0.42,1.35,-,0.74,-
Pretax Income,563.64,-730.26,-54.23,-48.68,-9.56,-43.82,345.4,557.54,750.33,723.53,261.53,-514.59,218.63,"1,228","1,296.03","1,147.87",844.04,675.89,804.61,324.51,558.84,696.64,607.5,557.01,-,192.9,-
Income Tax,73.54,-82.31,7.08,94.12,55.5,50.35,75.46,79.18,76.45,131.26,82.37,-28.11,90.75,184.62,152.62,198.24,76.52,-7.9,80.42,8.69,18.75,45.94,98.97,91.88,-,38.62,-
