Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.23,0.89,0.79,0.26,-0,0
Other Operating Expenses,0.3,0.16,0,0,0,0
Operating Expenses,0.52,1.06,0.79,0.26,0,0
Operating Income,-0.52,-1.06,-0.79,-0.26,-0,-0
Other Expense / Income,-1.81,-1.14,-0.31,-0.02,-,-
Pretax Income,1.29,0.08,-0.47,-0.24,-0,-0
Income Tax,0.37,0.23,0,0,0,0
Net Income,0.92,-0.15,-0.47,-0.24,-0,-0
Shares Outstanding (Basic),32,32,32,16,8,8
Shares Outstanding (Diluted),32,32,32,16,8,8
Shares Change,318.90%,311.61%,-,-,-,-
EPS (Basic),0.02,-0.04,-0.02,-1.36,-,-
EPS (Diluted),0.02,-0.04,-0.02,-1.36,-,-
Free Cash Flow Per Share,0.03,-0.01,-,-,-,-
Effective Tax Rate,28.68%,276.34%,-,-,-,-
EBITDA,1.29,0.08,-,-,-0,-
EBIT,1.29,0.08,-0.47,-0.24,-0,-0
