Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.78,1.25,0.26,0.19,0.19,0.04,0.01
Operating Expenses,0.78,1.25,0.26,0.19,0.19,0.04,0.01
Operating Income,-0.78,-1.25,-0.26,-0.19,-0.19,-0.04,-0.01
Other Expense / Income,-0.96,-0.58,-0.18,-0.03,-0.01,-,-
Pretax Income,0.18,-0.68,-0.08,-0.16,-0.18,-0.04,-0.01
Net Income,0.18,-0.68,-0.08,-0.16,-0.18,-0.04,-0.01
Shares Outstanding (Basic),14,14,14,14,6,3,3
Shares Outstanding (Diluted),14,14,14,14,6,3,3
Shares Change,139.93%,479.60%,479.60%,-,-,-,-
EPS (Basic),0.01,-0.05,-0.01,-0.01,-0.02,-0.02,-
EPS (Diluted),0.01,-0.05,-0.01,-0.01,-0.02,-0.02,-
Free Cash Flow Per Share,-0.02,-0.02,-0.01,-0.01,-0.07,0.01,-
EBITDA,0.18,-0.68,-0.08,-0.16,-0.18,-0.04,-0.01
EBIT,0.18,-0.68,-0.08,-0.16,-0.18,-0.04,-0.01
