Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-04-30,2021-01-31,2020-09-30,2020-07-20
Cost of Revenue,8.14,0.75,0,0,0,0,0,0,0,-,0,0
Gross Profit,-8.14,-0.75,0,0,0,0,0,0,0,-,0,0
"Selling, General & Admin",17.42,18.99,17.76,16.7,17.39,69.21,2.28,0.55,0.27,-,0,0
Other Operating Expenses,9.34,6.26,-0.33,-0.54,0.01,0.01,0,-0,0,0,0,0
Operating Expenses,26.76,25.25,17.43,16.16,17.4,69.21,2.28,0.55,0.27,-,0,0
Operating Income,-34.9,-26,-17.43,-16.16,-17.4,-69.21,-2.28,-0.55,-0.27,-,-0,-0
Interest Expense / Income,0.4,0.14,0,0,0,0,0.03,0,0,-,0,0
Other Expense / Income,-28.77,23.66,-76.72,13.06,0.1,-0.14,0.11,0,-,-,-,-
Pretax Income,-6.53,-49.79,59.29,-29.22,-17.5,-69.07,-2.42,-0.55,-0.27,-,-0,-0
Income Tax,0.07,1.84,0,0,0,0,0,0,0,-,0,0
Net Income,-6.6,-51.63,59.29,-29.22,-17.5,-69.07,-2.42,-0.55,-0.27,-,-0,-0
Shares Outstanding (Basic),249,248,248,248,250,218,218,200,371,21,4,4
Shares Outstanding (Diluted),249,247,248,248,250,218,218,200,371,-,4,4
Shares Change,-0.61%,13.09%,14.10%,23.87%,-32.57%,915.12%,5703.87%,5233.33%,-,-,-,-
EPS (Basic),-0.03,-0.21,0.24,-0.12,-0.07,-0.32,-0.01,-,-721.20,-,-,-
EPS (Diluted),-0.03,-0.21,0.24,-0.12,-0.07,-0.32,-0.01,-,-721.20,-,-,-
Free Cash Flow Per Share,-0.03,-0.11,-0.17,-0.29,-0.43,-0.23,-0.46,-0.01,-0.00,-,-0.00,-0.00
EBITDA,6.15,-44.95,59.51,-29,-17.35,-69.07,-2.39,-0.55,-0.27,-,-0,-0
Depreciation & Amortization,12.28,4.71,0.22,0.22,0.15,0,0,0,0,-,0,0
EBIT,-6.13,-49.65,59.29,-29.22,-17.5,-69.07,-2.4,-0.55,-0.27,-,-0,-0
