Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.36,0.42,0.41,0.37,0.62,0.43,0.37,0.02,0.03
Operating Expenses,0.36,0.42,0.41,0.37,0.62,0.43,0.37,0.02,0.03
Operating Income,-0.36,-0.42,-0.41,-0.37,-0.62,-0.43,-0.37,-0.02,-0.03
Other Expense / Income,-5.27,-2.92,-3.42,-3.27,-6.43,-4.82,-4.75,-,-
Pretax Income,4.91,2.5,3.01,2.89,5.81,4.39,4.39,-0.02,-0.03
Net Income,4.91,2.5,3.01,2.89,5.81,4.39,4.39,-0.02,-0.03
Net Income Growth,-15.51%,-42.99%,-31.32%,-,-,-,-,-,-
Shares Outstanding (Basic),43,43,43,43,43,25,35,8,8
Shares Outstanding (Diluted),43,43,43,43,43,26,35,8,8
Shares Change,-,67.11%,23.20%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.11,0.06,0.07,0.07,0.13,0.11,0.13,-,-
EPS (Diluted),0.11,0.06,0.07,0.07,0.13,0.11,0.13,-,-
EPS Growth,-15.38%,-45.45%,-46.15%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.05,-,-
EBITDA,4.91,2.5,3.01,2.89,5.81,4.39,4.39,-0.02,-0.03
EBIT,4.91,2.5,3.01,2.89,5.81,4.39,4.39,-0.02,-0.03
