Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-22
"Selling, General & Admin",0.39,0.47,0.45,0.6,0.58,0.32,0.24,0.27,0.04,0
Other Operating Expenses,0.03,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.02
Operating Expenses,0.41,0.52,0.5,0.65,0.63,0.37,0.29,0.32,0.1,0.02
Operating Income,-0.41,-0.52,-0.5,-0.65,-0.63,-0.37,-0.29,-0.32,-0.1,-0.02
Other Expense / Income,-1.48,-3.38,-3.93,-10.88,-5.59,-4.35,4.22,-1.46,6.86,-
Pretax Income,1.07,2.86,3.44,10.23,4.95,3.98,-4.52,1.14,-6.95,-0.02
Income Tax,0.57,0.37,0.05,0,0,0,0,0,0,0
Net Income,0.51,2.49,3.39,10.23,4.95,3.98,-4.52,1.14,-6.95,-0.02
Net Income Growth,-89.78%,-37.49%,-,797.47%,-,-,-,-,-,-
Shares Outstanding (Basic),44,52,52,52,52,52,52,52,19,9
Shares Outstanding (Diluted),44,52,52,52,52,52,52,52,19,9
Shares Change,-14.46%,-,-,-,178.31%,475.00%,-,-,-,-
EPS (Basic),0.02,0.05,0.07,0.20,0.10,0.08,-0.09,0.02,-0.43,-
EPS (Diluted),0.02,0.05,0.07,0.20,0.10,0.08,-0.09,0.02,-0.43,-
EPS Growth,-80.00%,-37.50%,-,900.00%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.02,-0.01,-0.01,-0.01,-0.01,-0.00,-0.00,-0.00,-0.03,-
Effective Tax Rate,52.82%,13.05%,1.44%,-,-,-,-,-,-,-
EBITDA,1.07,2.86,3.44,10.23,4.95,3.98,-4.52,1.14,-6.95,-0.02
EBIT,1.07,2.86,3.44,10.23,4.95,3.98,-4.52,1.14,-6.95,-0.02
