Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
"Selling, General & Admin",0.82,0.65,0.66,0.82,1.13,0.07
Operating Expenses,0.82,0.65,0.66,0.82,1.13,0.07
Operating Income,-0.82,-0.65,-0.66,-0.82,-1.13,-0.07
Other Expense / Income,-2.54,-1.99,-1.06,-0.32,-0.02,-
Pretax Income,1.72,1.34,0.41,-0.5,-1.11,-0.07
Income Tax,0.57,0.44,0.26,0,0,0
Net Income,1.15,0.9,0.14,-0.5,-1.11,-0.07
Shares Outstanding (Basic),29,29,29,29,22,5
Shares Outstanding (Diluted),29,29,29,29,22,5
Shares Change,29.78%,475.36%,-,-,-,-
EPS (Basic),0.04,0.04,0.01,-0.02,-0.05,-
EPS (Diluted),0.04,0.04,0.01,-0.02,-0.05,-
Free Cash Flow Per Share,-0.01,-0.01,-0.00,-0.01,-0.04,-0.02
Effective Tax Rate,33.28%,33.04%,64.74%,-,-,-
EBITDA,1.72,1.34,0.41,-0.5,-1.11,-0.07
EBIT,1.72,1.34,0.41,-0.5,-1.11,-0.07
