Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
"Selling, General & Admin",0.82,2.62,0.24,0,0.85,0.55,0.75,0,0.01
Operating Expenses,0.82,2.62,0.24,0,0.85,0.55,0.75,0,0.01
Operating Income,-0.82,-2.62,-0.24,0,-0.85,-0.55,-0.75,0,-0.01
Other Expense / Income,-4.1,-0.95,-3.01,-2.83,-3.21,-5.32,-0.1,1.4,-
Pretax Income,3.27,-1.67,2.77,2.83,2.36,4.77,-0.65,-1.4,-0.01
Net Income,3.27,-1.67,2.77,2.83,2.36,4.77,-0.65,-1.4,-0.01
Net Income Growth,38.80%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),39,39,39,39,39,39,39,17,6
Shares Outstanding (Diluted),39,39,39,39,39,39,39,17,6
Shares Change,-0.15%,-,-,129.50%,519.83%,-,-,-,-
EPS (Basic),0.09,-0.04,0.07,0.07,0.06,0.12,-0.02,-0.08,-
EPS (Diluted),0.09,-0.04,0.07,0.07,0.06,0.12,-0.02,-0.08,-
EPS Growth,50.00%,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-,-0.00,-0.02,-0.06,-
EBITDA,3.27,-1.67,2.77,2.83,2.36,4.77,-0.65,-1.4,-0.01
EBIT,3.27,-1.67,2.77,2.83,2.36,4.77,-0.65,-1.4,-0.01
