Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",1.17,0.32,0.24,0.27,-,0
Operating Expenses,1.17,0.32,0.24,0.27,-,0
Operating Income,-1.17,-0.32,-0.24,-0.27,-,0
Other Expense / Income,-1.69,-1.03,-0.15,-0.11,-,0.01
Pretax Income,0.53,0.71,-0.09,-0.16,-,-0.01
Net Income,0.53,0.71,-0.09,-0.16,-,-0.01
Shares Outstanding (Basic),25,25,25,25,8,4
Shares Outstanding (Diluted),25,25,25,25,-,4
Shares Change,216.38%,463.98%,-,-,-,-
EPS (Basic),0.02,0.03,-,-0.01,-,-
EPS (Diluted),0.02,0.03,-,-0.01,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.03,-0.01,-0.00
EBITDA,0.53,0.71,-0.09,-0.16,-,-0.01
EBIT,0.53,0.71,-0.09,-0.16,-,-0.01
