Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",4,-0.44,-0.4,0.97,0.27,-0,-0
Operating Expenses,4,-0.44,-0.4,0.97,0.27,-0,-0
Operating Income,-4,0.44,0.4,-0.97,-0.27,0,0
Other Expense / Income,-7.52,0.47,-2,-7.62,-0.01,0,0
Pretax Income,3.52,-0.03,2.4,6.65,-0.26,-0,-0
Net Income,3.52,-0.03,2.4,6.65,-0.26,-0,-0
Shares Outstanding (Basic),29,29,29,27,5,5,5
Shares Outstanding (Diluted),29,29,29,27,5,5,5
Shares Change,475.10%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.12,-,0.08,0.25,-0.05,-,-
EPS (Diluted),0.12,-,0.08,0.25,-0.05,-,-
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.07,-0.00,-,-
EBITDA,3.52,-0.03,2.4,6.65,-0.26,-0,-0
EBIT,3.52,-0.03,2.4,6.65,-0.26,-0,-0
