Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30
Revenue,103.89,134.3,261.22,287.54,481.76,343.06,412.96,294.11,526.19,454.21,563.54,435.1,170.2,256.02,217.78
Revenue Growth (YoY),-78.44%,-60.85%,-36.74%,-2.23%,-8.44%,-24.47%,-26.72%,-32.40%,209.16%,77.41%,158.77%,-,-,-,-
Cost of Revenue,111.12,116.29,137.37,178.19,187.33,249.61,270.89,232.56,266.72,303.3,273.56,229.89,148.01,160.14,176.72
Gross Profit,-7.24,18.01,123.85,109.35,294.43,93.45,142.06,61.55,259.46,150.91,289.98,205.21,22.19,95.88,41.06
"Selling, General & Admin",38.31,35.05,36.71,25.34,12.68,27.6,42.82,46.46,41.74,42.06,41.57,39.85,35.54,30.18,31.92
Other Operating Expenses,5.25,6.18,0.45,5.6,3.59,3.91,1.78,1.17,4.12,7.28,2.37,1.74,3.81,3.32,3.31
Operating Expenses,43.57,41.24,37.16,30.95,16.27,31.51,44.6,47.62,45.85,49.34,43.94,41.59,39.35,33.5,35.23
Operating Income,-50.8,-23.23,86.69,78.4,278.16,61.94,97.46,13.92,213.61,101.57,246.05,163.62,-17.17,62.38,5.84
Other Expense / Income,-0.01,0.01,-0.01,0.02,0.02,0.01,-,-,-,-,-,-,-,-,-
Pretax Income,-50.8,-23.23,86.7,78.38,278.14,61.93,97.46,13.92,213.61,101.57,246.05,163.62,-17.17,62.38,5.84
Income Tax,-13.61,-8.23,9.32,20.11,70.19,19.79,25.36,4.99,53.01,22.81,64.22,40.65,-4.18,18.3,-2.66
Net Income,-37.19,-15.01,77.37,58.27,207.96,42.14,72.1,8.94,160.6,78.77,181.82,122.98,-12.99,44.08,8.5
Net Income Growth,-,-,7.32%,551.96%,29.48%,-46.51%,-60.35%,-92.73%,-,78.69%,2040.09%,-,-,-,-
Shares Outstanding (Basic),61,61,61,61,61,61,61,60,60,60,60,60,60,60,-
Shares Outstanding (Diluted),61,60,62,62,61,61,61,60,60,-,-,-,-,-,-
Shares Change,-0.97%,-2.19%,0.27%,2.31%,2.13%,2.41%,2.33%,0.43%,0.35%,-,-,-,-,-,-
EPS (Basic),-0.61,-0.24,1.27,0.95,3.41,0.68,1.18,0.15,2.68,-,-,-,-,-,-
EPS (Diluted),-0.61,-0.21,1.26,0.95,3.38,0.68,1.17,0.15,2.67,-,-,-,-,-,-
EPS Growth,-,-,7.69%,533.33%,26.59%,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,-0.50,1.28,4.12,0.92,14.26,-1.47,7.82,4.25,0.56,-0.86,-2.29,-0.90,-3.89,3.53,-
Dividend Per Share,-,-,-,-,-,1.000,-,1.000,-,-,-,-,-,-,-
Gross Margin,-6.96%,13.41%,47.41%,38.03%,61.12%,27.24%,34.40%,20.93%,49.31%,33.22%,51.46%,47.16%,13.04%,37.45%,18.85%
Operating Margin,-48.90%,-17.29%,33.19%,27.27%,57.74%,18.05%,23.60%,4.73%,40.60%,22.36%,43.66%,37.61%,-10.09%,24.37%,2.68%
Profit Margin,-35.80%,-11.17%,29.62%,20.27%,43.17%,12.28%,17.46%,3.04%,30.52%,17.34%,32.26%,28.26%,-7.63%,17.22%,3.90%
Free Cash Flow Margin,-29.48%,57.94%,96.10%,19.61%,180.73%,-26.19%,115.51%,86.78%,6.40%,-11.35%,-24.33%,-12.40%,-137.24%,82.80%,-155.13%
Effective Tax Rate,-,-,10.75%,25.65%,25.23%,31.96%,26.03%,35.81%,24.81%,22.45%,26.10%,24.84%,-,29.34%,-45.60%
EBITDA,-41.59,-15.76,94.47,85.14,287.64,76.13,105.67,19.27,219.04,106.3,253.37,170.46,-9.96,64.08,8.09
EBITDA Margin,-40.03%,-11.73%,36.16%,29.61%,59.71%,22.19%,25.59%,6.55%,41.63%,23.40%,44.96%,39.18%,-5.85%,25.03%,3.71%
Depreciation & Amortization,9.21,7.47,7.77,6.76,9.5,14.21,8.21,5.34,5.43,4.73,7.32,6.84,7.21,1.7,2.25
EBIT,-50.8,-23.23,86.7,78.38,278.14,61.93,97.46,13.92,213.61,101.57,246.05,163.62,-17.17,62.38,5.84
EBIT Margin,-48.90%,-17.30%,33.19%,27.26%,57.73%,18.05%,23.60%,4.73%,40.60%,22.36%,43.66%,37.61%,-10.09%,24.37%,2.68%
