Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.19,0.21,0.31,0.27,0.43,0.11,0,0.01
Operating Expenses,0.19,0.21,0.31,0.27,0.43,0.11,0,0.01
Operating Income,-0.19,-0.21,-0.31,-0.27,-0.43,-0.11,0,-0.01
Other Expense / Income,-2.23,-2.02,-2.18,-3.75,0.08,-1.6,-,-
Pretax Income,2.03,1.81,1.88,3.48,-0.51,1.49,0,-0.01
Net Income,2.03,1.81,1.88,3.48,-0.51,1.49,0,-0.01
Net Income Growth,-,21.25%,-,-,-,-,-,-
Shares Outstanding (Basic),31,31,31,31,14,12,6,6
Shares Outstanding (Diluted),31,31,31,31,14,12,6,6
Shares Change,121.65%,169.79%,400.00%,400.00%,-,-,-,-
EPS (Basic),0.06,0.06,0.06,0.11,-0.10,0.13,-,-
EPS (Diluted),0.06,0.06,0.06,0.11,-0.10,0.13,-,-
EPS Growth,-,-53.85%,-,-,-,-,-,-
Free Cash Flow Per Share,-0.00,-0.00,-0.00,-0.00,0.01,-0.10,-,-
EBITDA,2.03,1.81,1.88,3.48,-0.51,1.49,0,-0.01
EBIT,2.03,1.81,1.88,3.48,-0.51,1.49,0,-0.01
