Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
"Selling, General & Admin",0.2,0.23,0.16,0.24,0.23,2.64,0.36,0.01,0.01
Operating Expenses,0.2,0.23,0.16,0.24,0.23,2.64,0.36,0.01,0.01
Operating Income,-0.2,-0.23,-0.16,-0.24,-0.23,-2.64,-0.36,-0.01,-0.01
Other Expense / Income,-1.69,1.39,-3.28,-0.24,0.05,-0.02,-0.01,-,-
Pretax Income,1.49,-1.62,3.12,0,-0.28,-2.62,-0.35,-0.01,-0.01
Net Income,1.49,-1.62,3.12,0,-0.28,-2.62,-0.35,-0.01,-0.01
Shares Outstanding (Basic),19,19,19,19,19,12,17,3,3
Shares Outstanding (Diluted),19,19,19,19,19,12,17,3,3
Shares Change,-,61.16%,14.47%,490.35%,490.35%,-,-,-,-
EPS (Basic),0.08,-0.09,0.16,-,-0.01,-0.21,-0.02,-,-
EPS (Diluted),0.08,-0.09,0.16,-,-0.01,-0.21,-0.02,-,-
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.00,-0.01,-0.04,-0.01,-
EBITDA,1.49,-1.62,3.12,0,-0.28,-2.62,-0.35,-0.01,-0.01
EBIT,1.49,-1.62,3.12,0,-0.28,-2.62,-0.35,-0.01,-0.01
