Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Revenue,14.75,15.18,16.37,15.65,16.92,16.74,17.15,11.1,8.29,7.51,7.4,6.45,5.96
Revenue Growth (YoY),-12.82%,-9.37%,-4.58%,41.00%,103.95%,122.87%,131.75%,72.04%,39.28%,-,-,-,-
Gross Profit,14.75,15.18,16.37,15.65,16.92,16.74,17.15,11.1,8.29,7.51,7.4,6.45,5.96
"Selling, General & Admin",7.73,6.38,6.27,6.72,7.53,6.75,6.14,5.66,4.77,4.57,4.44,4.04,4.33
Other Operating Expenses,2.84,1.89,2.56,2.01,1.82,1.51,1.82,5.07,0.96,1.02,1.13,0.63,1.3
Operating Expenses,10.57,8.27,8.83,8.73,9.36,8.26,7.96,10.73,5.73,5.59,5.57,4.67,5.63
Operating Income,4.18,6.9,7.54,6.92,7.56,8.48,9.19,0.37,2.57,1.92,1.83,1.78,0.32
Pretax Income,4.18,6.9,7.54,6.92,7.56,8.48,9.19,0.37,2.57,1.92,1.83,1.78,0.32
Income Tax,0.97,1.57,1.71,1.59,1.7,1.94,2.14,0.15,0.51,0.4,0.28,0.37,0.08
Net Income,3.21,5.34,5.83,5.33,5.86,6.54,7.06,0.22,2.06,1.52,1.55,1.41,0.25
Net Income Growth,-45.24%,-18.34%,-17.43%,2313.12%,185.16%,330.35%,356.40%,-84.32%,725.30%,-,-,-,-
Shares Outstanding (Basic),7,7,7,6,6,6,6,5,4,-,4,4,4
Shares Outstanding (Diluted),-,-,-,-,-,-,6,5,4,-,4,4,4
Shares Change,23.32%,28.51%,28.50%,21.04%,36.84%,-,33.98%,13.83%,0.88%,-,-,-,-
EPS (Basic),0.44,0.73,0.77,0.81,1.02,1.18,1.45,0.05,0.49,0.36,0.38,0.34,0.06
EPS (Diluted),0.43,0.72,0.76,0.80,1.00,1.16,1.43,0.05,0.48,0.36,0.37,0.33,0.06
EPS Growth,-57.00%,-37.93%,-46.85%,1500.00%,108.33%,222.22%,286.49%,-84.85%,700.00%,-,-,-,-
Free Cash Flow Per Share,0.03,0.73,1.05,1.24,0.49,1.12,0.97,0.86,0.55,-,0.13,0.03,-
Dividend Per Share,-,0.100,0.100,0.100,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,28.35%,45.50%,46.06%,44.21%,44.69%,50.65%,53.60%,3.30%,30.97%,25.60%,24.71%,27.64%,5.44%
Profit Margin,21.76%,35.18%,35.60%,34.08%,34.64%,39.04%,41.14%,1.99%,24.78%,20.22%,20.89%,21.84%,4.18%
Free Cash Flow Margin,1.25%,34.46%,46.74%,46.14%,17.07%,37.10%,31.65%,36.61%,27.63%,-8.93%,7.23%,2.02%,-
Effective Tax Rate,23.25%,22.68%,22.71%,22.91%,22.48%,22.91%,23.25%,39.62%,20.01%,21.01%,15.47%,20.98%,23.15%
EBITDA,4.63,7.34,7.98,7.36,8,8.9,9.78,0.56,2.92,2.27,2.18,2.12,-
EBITDA Margin,31.39%,48.39%,48.74%,47.05%,47.30%,53.14%,57.00%,5.05%,35.25%,30.19%,29.44%,32.89%,-
Depreciation & Amortization,0.45,0.44,0.44,0.44,0.44,0.42,0.58,0.19,0.36,0.35,0.35,0.34,-
EBIT,4.18,6.9,7.54,6.92,7.56,8.48,9.19,0.37,2.57,1.92,1.83,1.78,0.32
EBIT Margin,28.35%,45.50%,46.06%,44.21%,44.69%,50.65%,53.60%,3.30%,30.97%,25.60%,24.71%,27.64%,5.44%
