Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
Revenue,118,97.05,96.3,95.82,92,86.2,91.2,85.52,82.3,74.02,73.3,67.75,68.5,58.14,54,103.48,0,345.2,0,0,0,146.73,0,0,0,-
Revenue Growth (YoY),28.26%,12.59%,5.59%,12.05%,11.79%,16.46%,24.42%,26.22%,20.15%,27.30%,35.74%,-34.53%,-,-83.16%,-,-,-,135.26%,-,-,-,-,-,-,-,-
Cost of Revenue,48,54,36.7,38.4,28.3,40.29,45.9,48.67,41.2,44.27,43.2,32.59,31.7,36.26,26.4,55.38,0,176.19,0,0,0,86.93,0,0,0,-
Gross Profit,70,43.05,59.6,57.43,63.7,45.91,45.3,36.85,41.1,29.74,30.1,35.16,36.8,21.88,27.6,48.1,0,169.01,0,0,0,59.8,0,0,0,-
"Selling, General & Admin",34.3,35.7,34.4,33.24,34.4,31.91,31.6,30.17,28.5,27.48,25.7,25.16,26.5,27.33,21.9,40.31,0.2,121.65,0.18,0.21,0.07,67.12,0,0,0.01,-
Other Operating Expenses,0.8,-2.29,0,-1.15,1.3,-1.84,0,-1.02,0,-0.37,0,2.28,-2.4,-1.43,0,-0.9,0,-1.84,0,0,0,-0.86,0,0,0,0
Operating Expenses,35.1,33.41,34.4,32.09,35.7,30.07,31.6,29.15,28.5,27.11,25.7,27.44,24.1,25.91,21.9,39.41,0.2,119.81,0.18,0.21,0.07,66.26,0,0,0.01,-
Operating Income,34.9,9.64,25.2,25.34,28,15.84,13.7,7.7,12.6,2.64,4.4,7.72,12.7,-4.03,5.7,8.68,-0.2,49.2,-0.18,-0.21,-0.07,-6.46,-0,-0,-0.01,-
Other Expense / Income,-1.4,-17.89,6.2,4.18,4.9,6.3,-1.9,-1.16,1.1,-4.89,-5.8,-8.72,14.2,-9.88,1.4,-5.6,-1.02,4.98,-0.81,-0.79,-0.08,-13.49,-,-,-,-
Pretax Income,36.3,27.53,19,21.16,23.1,9.54,15.6,8.86,11.5,7.53,10.2,16.44,-1.5,5.85,4.3,14.28,0.81,44.22,0.63,0.58,0.01,7.03,-0,-0,-0.01,-
Income Tax,2.4,1.86,0.4,-0.71,0.9,0.35,-0.5,0.63,1.3,0.98,0.7,1.03,-0.6,1.49,0,0.02,0.17,1.49,0.13,0.12,0,-0.01,0,0,0,-
Net Income,33.9,25.67,18.6,21.87,22.2,9.2,16.1,8.23,10.2,6.55,9.5,15.41,-0.9,4.37,4.3,14.26,0.64,42.72,0.5,0.46,0.01,7.05,-0,-0,-0.01,-
Net Income Growth,52.70%,179.09%,15.53%,165.83%,117.65%,40.38%,69.47%,-46.61%,-,50.08%,120.93%,8.08%,-,-89.78%,760.51%,3001.37%,5090.86%,506.39%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),49,49,49,49,49,49,49,49,49,48,48,48,22,6,6,6,6,5,6,6,4,4,4,4,4,4
Shares Outstanding (Diluted),-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,6,6,5,6,6,4,4,4,4,4,-
Shares Change,0.22%,0.56%,0.83%,1.20%,0.63%,0.90%,0.90%,0.26%,125.27%,751.30%,754.79%,756.14%,281.75%,11.48%,0.69%,0.74%,26.69%,36.13%,30.53%,30.26%,3.38%,-,-,-,-,-
EPS (Basic),0.71,0.53,0.38,0.45,0.47,0.18,0.31,0.17,0.21,0.13,0.20,0.35,-0.02,0.13,0.13,0.45,-0.02,0.93,-0.02,-0.01,-0.01,0.05,-,-,-,-
EPS (Diluted),0.71,0.53,0.38,0.45,0.47,0.18,0.31,0.17,0.21,0.13,0.20,0.35,-0.02,0.13,0.13,0.45,-0.02,0.93,-0.02,-0.01,-0.01,0.05,-,-,-,-
