Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31
Revenue,643.15,439.34,561.12,-108.28,"1,110.71","1,079.33",511.26,"2,181.06","1,204.73","1,550.43"
Revenue Growth (YoY),-42.10%,-59.30%,9.75%,-,-7.80%,-30.39%,-,-,-,-
Cost of Revenue,499.09,320.41,409.4,-37.25,825.41,187.03,136.14,128.55,127.98,116.07
Gross Profit,144.06,118.93,151.73,-71.04,285.3,892.3,375.13,"2,052.52","1,076.75","1,434.36"
"Selling, General & Admin",104.87,93.45,95.53,77.67,102.26,95.66,68.63,61.17,53.13,65.1
Other Operating Expenses,8.74,9.13,7.94,9.02,10.22,12.19,14.81,4.83,9.42,5.71
Operating Expenses,113.61,102.58,103.47,86.69,112.49,107.85,83.44,65.99,62.55,70.81
Operating Income,30.45,16.35,48.26,-157.72,172.82,784.44,291.68,"1,986.52","1,014.2","1,363.55"
Interest Expense / Income,7.42,6.51,5.74,4.73,4.64,4.14,4.6,4.18,4.11,4.73
Other Expense / Income,36.85,57.54,18.52,-160.69,122.23,755.43,290.06,"1,980.66","1,006.96","1,870.22"
Pretax Income,-13.83,-47.7,24,-1.76,45.95,24.87,-2.97,1.68,3.13,-511.39
Income Tax,12.1,8.95,0.43,8.1,15,2.95,1.28,1.68,3.13,3.93
Net Income,-25.93,-56.65,23.56,-9.86,30.94,21.92,-4.25,0,0,-515.33
Shares Outstanding (Basic),79,79,79,79,79,307,307,307,307,307
Shares Outstanding (Diluted),309,309,309,309,309,-,-,-,-,-
Shares Change,0.08%,0.64%,0.64%,0.63%,0.63%,-,-,-,-,-
EPS (Basic),0.27,0.28,0.44,-0.15,0.52,-,-,-,-,-
EPS (Diluted),-0.01,-0.03,0.09,-0.37,0.11,-,-,-,-,-
Free Cash Flow Per Share,0.44,7.41,1.06,-0.13,8.99,1.36,3.65,-1.00,0.79,-2.10
Dividend Per Share,-,0.260,0.390,0.440,-,-,-,-,-,-
Gross Margin,22.40%,27.07%,27.04%,-,25.69%,82.67%,73.37%,94.11%,89.38%,92.51%
Operating Margin,4.73%,3.72%,8.60%,-,15.56%,72.68%,57.05%,91.08%,84.18%,87.95%
Profit Margin,-4.03%,-12.89%,4.20%,-,2.79%,2.03%,-0.83%,-,-,-33.24%
Free Cash Flow Margin,5.43%,133.65%,14.98%,-,64.13%,38.65%,219.26%,-14.03%,20.00%,-41.50%
Effective Tax Rate,-,-,1.80%,-,32.66%,11.85%,-,100.00%,100.00%,-
EBITDA,-6.41,-41.19,29.73,2.97,50.59,29.01,1.63,5.86,7.24,-529.88
EBITDA Margin,-1.00%,-9.38%,5.30%,-,4.55%,2.69%,0.32%,0.27%,0.60%,-34.18%
Depreciation & Amortization,0,0,0,0,0,0,0,0,0,-23.21
EBIT,-6.41,-41.19,29.73,2.97,50.59,29.01,1.63,5.86,7.24,-506.67
EBIT Margin,-1.00%,-9.38%,5.30%,-,4.55%,2.69%,0.32%,0.27%,0.60%,-32.68%
