Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,91.95,74.11,78.45,73.11,68.96,68.22,68.47,66.56,67.71,68.14,65.52,65.97,74.08,73.26,72.59,66.47,64.19,63.51,60.47,54.6,52.89,53.24,51.24,50.02,43.31,43.78,41.83,41.49,40.98,41.97,37.45,37.91,36.54,36.75,34.71,33.71,30.44,26.78,22.01,26.4
Revenue Growth (YoY),33.34%,8.64%,14.57%,9.84%,1.85%,0.11%,4.51%,0.90%,-8.61%,-6.99%,-9.74%,-0.75%,15.41%,15.35%,20.05%,21.74%,21.37%,19.28%,18.02%,9.15%,22.13%,21.61%,22.47%,20.56%,5.69%,4.33%,11.72%,9.46%,12.15%,14.20%,7.90%,12.45%,20.03%,37.21%,57.67%,27.68%,-,-,-,-
Cost of Revenue,20.17,16.82,18.8,18.55,17.7,17.42,17.65,17.22,17.03,17.77,16.08,16.51,18.14,17.94,17.34,15.47,15.31,15.26,15.03,13.96,13.8,13.74,13.51,13.24,9.4,11.22,11.21,10.96,10.62,11.09,9.35,10.02,10.05,3.28,6.55,6.19,0,0,0,0
Gross Profit,71.78,57.29,59.65,54.56,51.26,50.79,50.83,49.34,50.68,50.37,49.44,49.46,55.94,55.31,55.26,51,48.89,48.25,45.44,40.64,39.09,39.51,37.72,36.78,33.91,32.57,30.62,30.53,30.36,30.88,28.1,27.89,26.49,33.47,28.15,27.51,30.44,26.78,22.01,26.4
"Selling, General & Admin",2.5,2.81,2.2,2.27,2.62,2.53,2.5,2.26,2.3,2.5,2.2,2.65,2.44,2.05,2.26,2.33,2.27,2.61,3.34,2.05,2.04,2.45,1.82,1.79,2.02,1.64,1.7,1.87,2.15,1.82,1.83,1.88,1.8,1.87,1.89,1.24,0,0,0,0
Other Operating Expenses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14.97,4.54,5.07,5.36,-1.87,1.85,9.94,14.38,11.96,11.21,8.73
Operating Expenses,2.5,2.81,2.2,2.27,2.62,2.53,2.5,2.26,2.3,2.5,2.2,2.65,2.44,2.05,2.26,2.33,2.27,2.61,3.34,2.05,2.04,2.45,1.82,1.79,2.02,1.64,1.7,1.87,2.15,-13.15,6.37,6.95,7.16,0.01,3.74,11.18,14.38,11.96,11.21,8.73
Operating Income,69.28,54.48,57.44,52.29,48.64,48.26,48.33,47.08,48.38,47.87,47.24,46.81,53.5,53.27,53,48.66,46.61,45.64,42.1,38.59,37.04,37.06,35.91,35,31.89,30.93,28.92,28.65,28.21,44.03,21.73,20.94,19.33,33.46,24.41,16.34,16.06,14.83,10.8,17.67
Interest Expense / Income,30.8,28.46,24.65,20.67,18.64,18.15,17.69,17.87,19.39,18.55,18.08,19.23,22.19,22.6,21.83,20.72,19.15,18.18,14.76,12.82,11.29,10.16,9.51,9.05,8.38,7.91,7.17,6.77,6.6,6.51,5.79,5.6,5.48,5.47,5.24,2.56,0,0,0,0
Other Expense / Income,-6.32,1.96,25.13,15.6,-6.29,-22.24,8.8,-46.62,-22.61,-36.51,-58.89,-49.28,204.56,9.11,8,3.93,-16.36,29.72,0.36,1.52,1.97,-0.58,1.12,-1.37,-6.23,-11.05,-3.34,-22.78,14.24,57.55,5.73,-5.21,-9.71,36.51,11.65,-10.27,-7.39,-3.12,-6.66,6.68
Pretax Income,44.8,24.06,7.66,16.02,36.29,52.35,21.84,75.83,51.61,65.83,88.06,76.85,-173.26,21.56,23.17,24.01,43.83,-2.25,26.99,24.24,23.78,27.48,25.28,27.32,29.74,34.07,25.09,44.66,7.37,-20.03,10.21,20.55,23.56,-8.52,7.53,24.05,23.45,17.95,17.47,10.99
Income Tax,0.23,9.18,-0.04,0.07,0.1,0.1,-0.01,0.02,0.12,-0.33,-0.13,0.37,-0.9,0.11,-0.28,0.27,-0.09,-0.87,0.23,1.11,-0.07,0.6,0.5,-0.01,-0.68,0.22,0.01,-0.03,-0.68,-0,0.41,0.29,0.65,0.43,0.12,0.39,0,0,0,0
Net Income,44.57,14.88,7.71,15.95,36.19,52.25,21.85,75.81,51.49,66.16,88.19,76.48,-172.36,21.45,23.45,23.75,43.92,-1.38,26.76,23.13,23.84,26.88,24.78,27.33,30.42,33.86,25.08,44.69,8.05,-20.03,9.8,20.26,22.91,-8.95,7.41,23.66,23.45,17.95,17.47,10.99
Net Income Growth,23.16%,-71.52%,-64.73%,-78.96%,-29.71%,-21.02%,-75.23%,-0.87%,-,208.46%,276.08%,222.09%,-,-,-12.37%,2.65%,84.20%,-,8.01%,-15.35%,-21.61%,-20.61%,-1.21%,-38.85%,277.80%,-,155.80%,120.55%,-64.86%,-,32.29%,-14.36%,-2.28%,-,-57.57%,115.27%,-,-,-,-
Shares Outstanding (Basic),101,101,101,101,98,97,97,97,97,97,97,97,97,95,87,81,78,76,76,76,76,76,76,75,70,68,64,64,64,64,59,58,58,57,52,52,47,35,38,32
Shares Outstanding (Diluted),124,122,114,114,112,111,110,110,110,110,110,110,110,108,100,98,96,94,89,86,86,86,86,85,80,78,71,71,71,71,66,65,65,64,59,54,47,35,45,43
Shares Change,10.67%,10.46%,3.56%,3.42%,1.44%,0.38%,0.07%,0.00%,-,1.92%,9.82%,12.68%,14.84%,15.45%,12.15%,13.91%,11.78%,9.23%,4.53%,0.65%,7.81%,9.84%,20.19%,19.81%,11.70%,9.32%,7.79%,8.89%,9.19%,11.72%,11.32%,20.30%,38.57%,81.94%,32.55%,26.46%,-,-,-,-
EPS (Basic),0.44,0.15,0.08,0.16,0.37,0.54,0.23,0.78,0.53,0.68,0.91,0.79,-1.78,0.21,0.27,0.29,0.56,-0.02,0.35,0.30,0.31,0.35,0.33,0.36,0.44,0.50,0.39,0.70,0.13,-0.36,0.17,0.35,0.40,-0.21,0.14,0.46,0.50,0.38,0.46,0.34
EPS (Diluted),0.40,0.15,0.08,0.16,0.34,0.49,0.22,0.71,0.49,0.68,0.82,0.72,-1.78,0.21,0.26,0.27,0.49,-,0.32,0.29,0.30,0.34,0.31,0.34,0.40,0.46,0.37,0.64,0.13,-0.31,0.17,0.33,0.37,-0.19,0.14,0.44,0.50,0.36,0.46,0.35
EPS Growth,17.65%,-69.39%,-63.64%,-77.46%,-30.61%,-27.94%,-73.17%,-1.39%,-,223.81%,215.38%,166.67%,-,-,-18.75%,-6.90%,63.33%,-,3.23%,-14.71%,-25.00%,-26.09%,-16.22%,-46.88%,207.69%,-,117.65%,93.94%,-64.86%,-,21.43%,-25.00%,-26.00%,-,-69.57%,25.71%,-,-,-,-
Free Cash Flow Per Share,-0.04,0.43,0.70,-0.34,-0.46,-1.10,0.97,-0.55,0.46,0.33,-0.15,3.07,-0.14,-2.58,-3.49,-0.38,-1.77,-1.30,-1.79,-0.98,-1.10,-0.29,0.88,-0.92,-2.03,-0.77,0.63,0.49,0.64,-0.66,-2.78,2.03,0.42,-2.15,-0.25,-3.29,0.32,-0.82,0.42,-
Dividend Per Share,0.320,0.320,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.300,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.340,0.460,0.340,0.340,0.340,0.460,0.340
Dividend Growth,6.67%,6.67%,0%,0%,0%,0%,0%,0%,-11.76%,-11.76%,-11.76%,-11.76%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,-26.09%,0%,0%,0%,0%,0%,-,-,-,-
Gross Margin,78.06%,77.30%,76.03%,74.62%,74.33%,74.46%,74.23%,74.13%,74.85%,73.92%,75.46%,74.97%,75.51%,75.51%,76.12%,76.73%,76.16%,75.98%,75.14%,74.43%,73.90%,74.20%,73.63%,73.54%,78.30%,74.38%,73.20%,73.58%,74.09%,73.58%,75.04%,73.57%,72.51%,91.08%,81.12%,81.62%,100.00%,100.00%,100.00%,100.00%
Operating Margin,75.34%,73.51%,73.22%,71.52%,70.53%,70.75%,70.58%,70.74%,71.45%,70.25%,72.10%,70.95%,72.21%,72.71%,73.01%,73.22%,72.62%,71.86%,69.62%,70.68%,70.04%,69.61%,70.08%,69.97%,73.63%,70.64%,69.14%,69.06%,68.85%,104.92%,58.03%,55.24%,52.90%,91.06%,70.35%,48.47%,52.75%,55.36%,49.08%,66.95%
Profit Margin,48.47%,20.08%,9.82%,21.82%,52.48%,76.59%,31.91%,113.90%,76.05%,97.09%,134.60%,115.94%,-232.65%,29.28%,32.30%,35.73%,68.42%,-2.18%,44.25%,42.37%,45.08%,50.48%,48.36%,54.64%,70.24%,77.32%,59.95%,107.72%,19.65%,-47.72%,26.18%,53.46%,62.72%,-24.34%,21.35%,70.20%,77.03%,67.00%,79.35%,41.64%
