Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",2.36,1.44,0.29,0.36,0.25,0,0.03
Operating Expenses,2.36,1.44,0.29,0.36,0.25,0,0.03
Operating Income,-2.36,-1.44,-0.29,-0.36,-0.25,-0,-0.03
Other Expense / Income,-2.5,-1.1,-6.47,-4.16,2.35,-,-
Pretax Income,0.13,-0.35,6.17,3.8,-2.6,-0,-0.03
Net Income,0.13,-0.35,6.17,3.8,-2.6,-0,-0.03
Shares Outstanding (Basic),29,29,29,29,10,5,5
Shares Outstanding (Diluted),29,29,29,29,10,5,5
Shares Change,179.79%,475.00%,475.00%,-,-,-,-
EPS (Basic),0.01,-0.01,0.21,0.13,-0.25,-,-0.01
EPS (Diluted),0.01,-0.01,0.21,0.13,-0.25,-,-0.01
Free Cash Flow Per Share,-0.00,-0.00,-0.01,-0.01,-0.08,0.00,-0.00
EBITDA,0.13,-0.35,6.17,3.8,-2.6,-0,-0.03
EBIT,0.13,-0.35,6.17,3.8,-2.6,-0,-0.03
