Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30
Revenue,17.27,23.41,24.75,29.18,29.38,17.01,6.02,4.18,3.8,0.99,0.96
Revenue Growth (YoY),-41.23%,37.61%,311.13%,597.29%,673.54%,1617.94%,527.04%,-,-,-,-
Cost of Revenue,15.85,11.88,27.99,25.27,20.54,16.08,5.25,4.06,3.54,0.55,1.18
Gross Profit,1.41,11.53,-3.25,3.91,8.84,0.92,0.77,0.12,0.26,0.44,-0.22
"Selling, General & Admin",8.47,11.61,11.33,10.9,11.42,8.58,3.47,2,0.91,1.18,0.37
Other Operating Expenses,7.56,39.48,24.6,22.86,26.35,6.55,1.25,1.16,0.52,0.14,0.14
Operating Expenses,16.03,51.09,35.93,33.77,37.77,15.13,4.72,3.16,1.43,1.31,0.5
Operating Income,-14.62,-39.56,-39.18,-29.85,-28.93,-14.2,-3.95,-3.04,-1.17,-0.87,-0.72
Interest Expense / Income,2.38,3.1,3.39,4.51,2.91,2.03,2.46,0.06,0.08,0.1,0.03
Other Expense / Income,11.54,-14.73,-11.35,-17.66,-18.43,-8.05,-4.46,-2.09,-1.01,-1.15,-0.07
Pretax Income,-28.54,-27.93,-31.22,-16.7,-13.41,-8.18,-1.95,-1.01,-0.24,0.18,-0.68
Net Income,-28.54,-27.93,-31.22,-16.7,-13.41,-8.18,-1.95,-1.01,-0.24,0.18,-0.68
Shares Outstanding (Basic),44,26,25,20,20,6,0,0,45,45,-
Shares Outstanding (Diluted),44,26,25,20,20,6,0,0,-,-,-
Shares Change,116.55%,368.39%,7541.46%,249882.32%,-55.36%,-87.81%,-,-,-,-,-
EPS (Basic),-0.65,-0.63,-1.27,-0.82,-0.66,15.02,-6.05,-123.86,-,-,-
EPS (Diluted),-0.65,-0.63,-1.27,-0.82,-0.66,15.02,-6.05,-123.86,-,-,-
Free Cash Flow Per Share,-0.08,-0.63,-0.80,-0.82,-2.42,-27.33,-58.02,-10978.84,0.00,0.01,-
Gross Margin,8.17%,49.26%,-13.12%,13.41%,30.09%,5.44%,12.84%,2.92%,6.73%,44.35%,-22.73%
Operating Margin,-84.65%,-169.03%,-158.31%,-102.32%,-98.47%,-83.49%,-65.55%,-72.60%,-30.88%,-88.13%,-75.27%
Profit Margin,-165.30%,-119.33%,-126.15%,-57.24%,-45.64%,-48.10%,-32.42%,-24.08%,-6.29%,18.06%,-71.08%
Free Cash Flow Margin,-19.43%,-69.27%,-79.15%,-57.27%,-166.29%,-886.65%,-310.68%,-2134.89%,2.71%,36.93%,-48.69%
EBITDA,-18.43,-14.83,-15.58,0.48,1.82,-1.01,1.67,-0.16,0.36,0.41,-0.51
EBITDA Margin,-106.77%,-63.37%,-62.95%,1.63%,6.20%,-5.94%,27.70%,-3.93%,9.40%,41.75%,-53.21%
Depreciation & Amortization,7.72,10,12.25,12.67,12.32,5.14,1.16,0.79,0.52,0.14,0.14
EBIT,-26.16,-24.83,-27.83,-12.19,-10.5,-6.15,0.51,-0.95,-0.16,0.28,-0.65
EBIT Margin,-151.50%,-106.10%,-112.44%,-41.79%,-35.73%,-36.18%,8.46%,-22.76%,-4.22%,28.01%,-67.71%
