Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31
Revenue,201.32,201.52,207.26,216.01,230.02,229.12,226.29,221.9,212.95,200.39,188.66,181.89,204.42,218.55,214.98,91.36,87.48,95.97,108.08,104.4,104.96,105.65,102.39,100.93,100.66,-,-
Revenue Growth (YoY),-12.48%,-12.05%,-8.41%,-2.66%,8.02%,14.34%,19.95%,22.00%,4.17%,-8.31%,-12.24%,99.09%,133.68%,127.74%,98.90%,-12.49%,-16.66%,-9.16%,5.56%,3.43%,4.27%,-,-,-,-,-,-
Cost of Revenue,95.26,96.48,95.89,98.45,108.49,107.73,100.7,101.69,101.11,93.18,86.5,90.74,102.43,111.68,112.76,51.72,50.27,55.03,62.3,61.27,61.96,62.55,60.9,61.57,62.53,-,-
Gross Profit,106.06,105.04,111.37,117.56,121.53,121.39,125.59,120.22,111.84,107.21,102.16,91.15,101.99,106.87,102.22,39.64,37.21,40.93,45.79,43.13,43,43.09,41.49,39.37,38.13,-,-
"Selling, General & Admin",12.39,13.39,12.3,13.92,12.76,12.9,13.8,13.71,13.31,12.85,13.2,13.29,11.89,14.74,17.65,7.09,7.09,6.91,6.95,7.09,9.06,7.95,8.87,8.26,8.92,-,-
Other Operating Expenses,19.11,12.04,0.43,-15.69,7.23,18.67,12.8,11.24,8.77,16.68,8.37,12.05,-0.52,27.94,29,9.82,8,8.27,7.03,6.36,6.68,8.22,8.38,11.67,9.65,0,0
Operating Expenses,31.5,25.43,12.73,-1.77,20,31.57,26.6,24.95,22.08,29.52,21.57,25.34,11.37,42.68,46.65,16.91,15.09,15.18,13.98,13.45,15.73,16.17,17.25,19.93,18.57,-,-
Operating Income,74.57,79.6,98.64,119.33,101.54,89.82,99,95.27,89.76,77.68,80.59,65.81,90.62,64.2,55.57,22.73,22.13,25.76,31.81,29.68,27.27,26.93,24.24,19.44,19.56,-,-
Interest Expense / Income,14.24,13.33,11.48,9.93,9.23,5.8,5.85,6.16,6.85,7.7,8.19,9.71,11.41,14.9,16.86,4.52,4.62,4.44,4.46,4.71,7.09,10.31,11.69,13.84,12.63,-,-
Other Expense / Income,-1.54,-2.87,1.82,4.41,1.76,-1.5,0.79,-0.79,0.05,-2.59,-0.36,-3.1,5.23,0.85,4.67,-0.66,-1.83,2.63,0.2,-0.01,6.1,2.1,-0.42,1.91,-0.35,-,-
