Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31
Revenue,22.44,24.5,23.44,21.17,22.49,21.02,17.92,15.1,13.74,13.04,10.72,12.67,13.18,13.66,13.42,14.33,12.76,12.33,12.74,11.2,11.66,11.19,10.63,9.91
Revenue Growth (YoY),-0.19%,16.60%,30.83%,40.16%,63.64%,61.15%,67.11%,19.20%,4.26%,-4.54%,-20.12%,-11.60%,3.33%,10.79%,5.39%,28.00%,9.42%,10.24%,19.79%,12.98%,-,-,-,-
Gross Profit,22.44,24.5,23.44,21.17,22.49,21.02,17.92,15.1,13.74,13.04,10.72,12.67,13.18,13.66,13.42,14.33,12.76,12.33,12.74,11.2,11.66,11.19,10.63,9.91
"Selling, General & Admin",9.31,9.81,9.45,7.89,7.94,7.86,7.31,6.64,7.37,7,6.39,7.11,6.52,7.38,7.25,7.01,6.33,6.54,6.42,5.92,5.76,5.94,5.79,5.66
Other Operating Expenses,2.02,2.53,2.06,1.77,1.65,1.66,1.48,1.33,1.05,0.98,0.95,1.1,1.14,1.05,1.11,1.06,1.24,1.17,1.06,0.89,0.81,0.8,0.77,0.73
Operating Expenses,11.33,12.34,11.5,9.66,9.59,9.52,8.79,7.97,8.41,7.99,7.33,8.21,7.67,8.42,8.36,8.07,7.57,7.71,7.48,6.81,6.57,6.74,6.55,6.39
Operating Income,11.12,12.17,11.94,11.5,12.9,11.5,9.13,7.14,5.33,5.05,3.39,4.46,5.52,5.24,5.07,6.26,5.19,4.63,5.26,4.39,5.09,4.44,4.08,3.52
Pretax Income,11.12,12.17,11.94,11.5,12.9,11.5,9.13,7.14,5.33,5.05,3.39,4.46,5.52,5.24,5.07,6.26,5.19,4.63,5.26,4.39,5.09,4.44,4.08,3.52
Income Tax,3.09,3.52,3.46,3.35,3.76,3.25,2.75,2.06,1.51,1.46,0.97,1.16,1.34,1.24,1.23,1.52,1.42,1.14,1.47,1.17,3.19,1.71,1.62,1.38
Net Income,8.03,8.65,8.48,8.15,9.13,8.25,6.38,5.08,3.82,3.6,2.42,3.3,4.18,4,3.84,4.74,3.76,3.48,3.79,3.22,1.9,2.73,2.46,2.15
Net Income Growth,-12.11%,4.85%,32.94%,60.57%,139.30%,129.49%,164.03%,53.90%,-8.71%,-10.12%,-37.02%,-30.40%,11.08%,14.91%,1.19%,47.39%,98.16%,27.61%,53.91%,49.88%,-,-,-,-
Shares Outstanding (Basic),15,15,15,15,15,15,15,15,15,15,15,15,16,16,16,16,16,16,16,15,15,-,-,-
Shares Change,0.44%,0.37%,0.62%,0.73%,0.25%,-0.34%,-0.05%,-1.51%,-3.87%,-4.27%,-3.86%,-2.72%,-0.51%,0.65%,0.56%,3.25%,3.90%,-,-,-,-,-,-,-
EPS (Basic),0.52,0.56,0.55,0.53,0.60,0.54,0.42,0.33,0.25,0.23,0.16,0.21,0.26,0.25,0.24,0.29,0.24,0.22,0.24,0.23,0.14,0.20,0.18,0.16
EPS (Diluted),0.52,0.55,0.54,0.53,0.59,0.54,0.42,0.33,0.25,0.23,0.16,0.21,0.26,0.24,0.23,0.29,0.23,0.21,0.23,0.22,0.14,0.19,0.18,0.15
EPS Growth,-11.86%,1.85%,28.57%,60.61%,136.00%,134.78%,162.50%,57.14%,-3.85%,-4.17%,-30.43%,-27.59%,13.04%,14.29%,0%,31.82%,64.29%,10.53%,27.78%,46.67%,-,-,-,-
Free Cash Flow Per Share,0.17,3.02,1.44,0.80,1.55,-1.57,-2.25,0.31,1.41,-1.60,-0.30,0.14,0.17,0.49,0.31,0.12,0.45,0.77,0.78,-0.12,0.06,-,-,-
Dividend Per Share,0.120,0.120,0.100,0.100,0.100,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.050,0.050,0.050,0.050,-,-,-,-,-,-,-,-
Dividend Growth,20.00%,71.43%,42.86%,42.86%,42.86%,0%,0%,0%,40.00%,40.00%,40.00%,40.00%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,49.53%,49.65%,50.93%,54.35%,57.35%,54.70%,50.95%,47.25%,38.79%,38.75%,31.60%,35.22%,41.85%,38.34%,37.73%,43.67%,40.66%,37.51%,41.29%,39.17%,43.62%,39.71%,38.38%,35.53%
Profit Margin,35.77%,35.30%,36.17%,38.52%,40.62%,39.26%,35.60%,33.62%,27.78%,27.57%,22.53%,26.04%,31.72%,29.28%,28.58%,33.08%,29.51%,28.23%,29.76%,28.72%,16.29%,24.39%,23.16%,21.65%
Free Cash Flow Margin,11.63%,187.39%,92.74%,56.96%,104.17%,-112.78%,-188.46%,30.74%,154.47%,-186.27%,-42.22%,16.74%,20.46%,57.12%,35.80%,13.51%,55.49%,98.30%,94.74%,-16.58%,7.14%,-48.98%,-0.95%,21.98%
Effective Tax Rate,27.79%,28.89%,28.97%,29.13%,29.17%,28.24%,30.12%,28.84%,28.39%,28.87%,28.69%,26.06%,24.20%,23.62%,24.26%,24.26%,27.43%,24.74%,27.91%,26.66%,62.65%,38.58%,39.64%,39.06%
EBITDA,11.46,12.51,12.22,11.89,13.22,11.83,9.46,7.46,5.65,5.38,3.71,4.79,5.83,5.53,5.34,6.53,5.47,4.9,5.51,4.63,5.33,4.69,4.34,3.78
EBITDA Margin,51.08%,51.07%,52.13%,56.19%,58.79%,56.28%,52.78%,49.42%,41.11%,41.25%,34.64%,37.82%,44.21%,40.51%,39.75%,45.54%,42.87%,39.72%,43.24%,41.31%,45.69%,41.92%,40.78%,38.19%
Depreciation & Amortization,0.35,0.35,0.28,0.39,0.33,0.33,0.33,0.33,0.32,0.33,0.33,0.33,0.31,0.3,0.27,0.27,0.28,0.27,0.25,0.24,0.24,0.25,0.26,0.26
EBIT,11.12,12.17,11.94,11.5,12.9,11.5,9.13,7.14,5.33,5.05,3.39,4.46,5.52,5.24,5.07,6.26,5.19,4.63,5.26,4.39,5.09,4.44,4.08,3.52
EBIT Margin,49.53%,49.65%,50.93%,54.35%,57.35%,54.70%,50.95%,47.25%,38.79%,38.75%,31.60%,35.22%,41.85%,38.34%,37.73%,43.67%,40.66%,37.51%,41.29%,39.17%,43.62%,39.71%,38.38%,35.53%
