Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.79,0.29,0.21,0.18,0.18,0,0
Operating Expenses,0.79,0.29,0.21,0.18,0.18,0,0
Operating Income,-0.79,-0.29,-0.21,-0.18,-0.18,0,0
Other Expense / Income,-1.52,-0.8,-0.25,-0.01,0.45,-,-
Pretax Income,0.73,0.51,0.04,-0.16,-0.63,0,0
Net Income,0.73,0.51,0.04,-0.16,-0.63,0,0
Shares Outstanding (Basic),4,4,4,4,4,4,4
Shares Outstanding (Diluted),4,4,4,4,4,4,4
Shares Change,6.91%,15.00%,15.00%,-,-,-,-
EPS (Basic),0.03,0.02,-,-0.01,-0.09,-,-
EPS (Diluted),0.03,0.02,-,-0.01,-0.09,-,-
Free Cash Flow Per Share,-0.07,-0.01,-0.04,-0.06,-0.13,-0.01,-0.01
EBITDA,0.73,0.51,0.04,-0.16,-0.63,0,0
EBIT,0.73,0.51,0.04,-0.16,-0.63,0,0
