Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",0.63,1.19,1.12,1.26,0.48,0.15,0,0.03
Operating Expenses,0.63,1.19,1.12,1.26,0.48,0.15,0,0.03
Operating Income,-0.63,-1.19,-1.12,-1.26,-0.48,-0.15,-0,-0.03
Other Expense / Income,-1.63,-1.72,-0.92,-0.27,-0.02,-0,-,-
Pretax Income,1,0.54,-0.2,-0.98,-0.46,-0.15,-0,-0.03
Net Income,1,0.54,-0.2,-0.98,-0.46,-0.15,-0,-0.03
Shares Outstanding (Basic),20,26,26,26,26,7,5,5
Shares Outstanding (Diluted),20,26,26,26,26,7,5,5
Shares Change,-21.06%,249.64%,409.30%,409.30%,-,-,-,-
EPS (Basic),0.05,0.02,-0.01,-0.04,-0.02,-0.01,-,-0.01
EPS (Diluted),0.05,0.02,-0.01,-0.04,-0.02,-0.01,-,-0.01
Free Cash Flow Per Share,-0.01,-0.01,-0.01,-0.01,-0.00,-0.10,-,-
EBITDA,1,0.54,-0.2,-0.98,-0.46,-0.15,-0,-0.03
EBIT,1,0.54,-0.2,-0.98,-0.46,-0.15,-0,-0.03
