Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30
Revenue,14.31,14.23,13.75,8.48,12.51,18.85,12.21,13.35,13.15,13.41,11.39,12.67,9.91,13.09,12.89,12.52,12.52,12.37,12.23,10.7,8.19,8.67,8.87,8.8,8.65,8.89,8.35,8.82,8.42,8.22,8.89,8.7,8.98,7.87,5.04,4.96,4.83,4.93,4.8,4.67
Revenue Growth (YoY),14.45%,-24.51%,12.66%,-36.46%,-4.90%,40.51%,7.19%,5.40%,32.77%,2.49%,-11.62%,1.19%,-20.90%,5.82%,5.35%,17.03%,52.82%,42.68%,37.90%,21.55%,-5.28%,-2.51%,6.28%,-0.17%,2.78%,8.16%,-6.13%,1.34%,-6.29%,4.43%,76.39%,75.52%,85.89%,59.60%,5.06%,6.24%,-,-,-,-
Gross Profit,14.31,14.23,13.75,8.48,12.51,18.85,12.21,13.35,13.15,13.41,11.39,12.67,9.91,13.09,12.89,12.52,12.52,12.37,12.23,10.7,8.19,8.67,8.87,8.8,8.65,8.89,8.35,8.82,8.42,8.22,8.89,8.7,8.98,7.87,5.04,4.96,4.83,4.93,4.8,4.67
"Selling, General & Admin",7.26,7.23,6.97,6.8,6.8,8.07,7.99,8.38,7.4,7.38,7.43,7.1,6.94,7.12,6.5,6.78,6.97,6.95,7.04,6.81,5.17,4.96,4.9,4.94,4.87,4.6,4.78,4.61,4.7,4.39,4.48,4.49,4.52,3.93,2.66,2.7,2.81,2.79,2.5,2.59
Other Operating Expenses,1.77,1.77,1.86,1.62,1.86,1.9,1.78,5.34,1.99,2.34,21.54,1.97,2.06,1.91,1.76,2.02,1.91,2.42,2.33,2.68,1.49,1.79,1,1.36,1.34,1.41,1.38,1.47,0.81,1.39,1.38,1.04,1.23,1.33,1.37,1.35,0.65,0.55,0.83,0.76
Operating Expenses,9.03,9,8.83,8.41,8.66,9.97,9.77,13.72,9.4,9.73,28.97,9.07,9,9.03,8.26,8.8,8.88,9.38,9.37,9.49,6.67,6.75,5.9,6.3,6.22,6.01,6.17,6.09,5.51,5.79,5.86,5.54,5.75,5.26,4.03,4.05,3.46,3.35,3.34,3.35
Operating Income,5.29,5.23,4.93,0.07,3.85,8.87,2.44,-0.37,3.76,3.69,-17.58,3.6,0.9,4.06,4.63,3.72,3.64,2.99,2.87,1.2,1.53,1.91,2.97,2.5,2.43,2.88,2.18,2.73,2.9,2.43,3.03,3.16,3.24,2.61,1.01,0.91,1.38,1.59,1.46,1.32
Pretax Income,5.29,5.23,4.93,0.07,3.85,8.87,2.44,-0.37,3.76,3.69,-17.58,3.6,0.9,4.06,4.63,3.72,3.64,2.99,2.87,1.2,1.53,1.91,2.97,2.5,2.43,2.88,2.18,2.73,2.9,2.43,3.03,3.16,3.24,2.61,1.01,0.91,1.38,1.59,1.46,1.32
Income Tax,1.13,1.08,1,-0.04,0.8,1.91,0.45,-0.15,0.91,0.61,-0.18,0.7,0.13,-0.62,0.88,0.74,0.72,0.56,0.58,0.23,0.17,0.54,0.91,0.7,0.73,0.86,0.61,0.79,0.86,0.68,0.9,0.92,0.94,0.88,0.27,0.17,0.3,0.37,0.32,0.28
Net Income,4.16,4.15,3.93,0.12,3.05,6.97,1.98,-0.22,2.85,3.08,-17.4,2.9,0.77,4.68,3.75,2.98,2.93,2.43,2.29,0.97,1.36,1.38,2.06,1.8,1.7,2.02,1.58,1.94,2.05,1.76,2.13,2.24,2.3,1.74,0.74,0.74,1.08,1.22,1.14,1.04
