Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
"Selling, General & Admin",1.3,4.37,0.24,0.38,0.4,0.4,0.04,0.04
Operating Expenses,1.3,4.37,0.24,0.38,0.4,0.4,0.04,0.04
Operating Income,-1.3,-4.37,-0.24,-0.38,-0.4,-0.4,-0.04,-0.04
Other Expense / Income,-2.6,-2.43,-1.27,-0.4,-0.02,-0,-,-
Pretax Income,1.3,-1.94,1.03,0.02,-0.37,-0.4,-0.04,-0.04
Net Income,1.3,-1.94,1.03,0.02,-0.37,-0.4,-0.04,-0.04
Shares Outstanding (Basic),36,36,36,36,36,14,6,7
Shares Outstanding (Diluted),36,36,36,36,36,14,6,7
Shares Change,-,151.71%,497.25%,398.57%,-,-,-,-
EPS (Basic),0.04,-0.06,0.03,-,-0.01,-0.02,-0.01,-0.01
EPS (Diluted),0.04,-0.06,0.03,-,-0.01,-0.02,-0.01,-0.01
Free Cash Flow Per Share,-0.01,-0.00,-0.01,-0.01,-0.01,-0.08,-0.01,-0.01
EBITDA,1.3,-1.94,1.03,0.02,-0.37,-0.4,-0.04,-0.04
EBIT,1.3,-1.94,1.03,0.02,-0.37,-0.4,-0.04,-0.04
