Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31
Revenue,20.2,19.49,17.54,16.27,14.61,13.89,13.11,12.94,11.38,10.85,10.69,10.83,11.11,10.94,11.11,10.88,10.58,10.69,10.12,9.93,10.03,8.48,9.69,-
Revenue Growth (YoY),38.31%,40.33%,33.81%,25.67%,28.41%,28.00%,22.66%,19.52%,2.37%,-0.81%,-3.82%,-0.44%,5.07%,2.30%,9.77%,9.60%,5.50%,26.06%,4.49%,-,-,-,-,-
Gross Profit,20.2,19.49,17.54,16.27,14.61,13.89,13.11,12.94,11.38,10.85,10.69,10.83,11.11,10.94,11.11,10.88,10.58,10.69,10.12,9.93,10.03,8.48,9.69,-
"Selling, General & Admin",6.16,6.33,5.52,5.49,5.33,4.59,3.95,3.98,3.74,3.64,3.52,3.38,3.6,3.79,15.36,3.29,3.05,2.95,2.98,2.72,3.01,3.04,2.91,-
Other Operating Expenses,1.49,1.79,1.62,1.48,1.09,1.61,0.83,0.9,0.81,0.9,1.07,0.75,0.75,0.77,0.71,0.76,0.71,0.99,0.83,0.82,0.66,0.87,0.82,0
Operating Expenses,7.65,8.13,7.13,6.96,6.42,6.2,4.78,4.88,4.55,4.53,4.58,4.12,4.35,4.56,16.07,4.05,3.76,3.94,3.81,3.55,3.68,3.91,3.74,-
Operating Income,12.55,11.36,10.4,9.3,8.19,7.69,8.33,8.07,6.83,6.32,6.1,6.71,6.76,6.38,-4.96,6.83,6.82,6.75,6.32,6.38,6.35,4.57,5.95,-
Pretax Income,12.55,11.36,10.4,9.3,8.19,7.69,8.33,8.07,6.83,6.32,6.1,6.71,6.76,6.38,-4.96,6.83,6.82,6.75,6.32,6.38,6.35,4.57,5.95,-
Income Tax,2.95,2.97,2.36,2.28,2,2,2.06,1.96,1.73,1.58,1.66,1.67,1.71,1.88,1.56,1.7,1.71,1.19,-0.4,0,0,0,0,-
Net Income,9.61,8.39,8.04,7.02,6.18,5.69,6.26,6.11,5.1,4.74,4.44,5.04,5.05,4.5,-6.52,5.13,5.12,5.56,6.71,6.38,6.35,4.57,5.95,-
Net Income Growth,55.35%,47.54%,28.37%,15.05%,21.16%,19.98%,41.08%,21.23%,1.05%,5.26%,-,-1.76%,-1.27%,-19.06%,-,-19.64%,-19.42%,21.76%,12.77%,-,-,-,-,-
Shares Outstanding (Basic),9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,8,8,7,7,7,7,7
Shares Outstanding (Diluted),9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,8,8,7,7,7,7,-
Shares Change,0.90%,1.14%,1.15%,1.33%,1.36%,0.71%,-1.33%,-1.71%,-9.17%,-9.88%,-9.19%,-9.42%,-2.11%,22.12%,32.50%,39.86%,39.79%,13.04%,5.24%,-,-,-,-,-
EPS (Basic),1.05,0.92,0.88,0.77,0.68,0.63,0.69,0.67,0.56,0.52,0.48,0.54,0.51,0.44,-0.64,0.50,0.50,0.45,0.88,0.88,0.87,0.62,0.82,-
EPS (Diluted),1.04,0.91,0.87,0.76,0.67,0.63,0.69,0.67,0.56,0.52,0.48,0.54,0.51,0.44,-0.64,0.50,0.50,0.41,0.87,0.88,0.87,0.62,0.82,-
EPS Growth,55.22%,44.44%,26.09%,13.43%,19.64%,21.15%,43.75%,24.07%,9.80%,18.18%,-,8.00%,2.00%,7.32%,-,-43.18%,-42.53%,-33.87%,6.10%,-,-,-,-,-
Free Cash Flow Per Share,1.46,1.07,0.57,1.41,1.65,0.73,0.62,0.89,1.01,0.74,0.30,0.77,0.82,0.31,0.53,0.15,0.64,0.78,1.15,0.75,1.02,0.27,-,-
Dividend Per Share,0.160,0.160,0.120,0.120,0.120,0.120,0.110,0.110,0.110,0.110,0.100,0.100,0.100,0.500,0.100,-,-,-,-,-,-,-,-,-
Dividend Growth,33.33%,33.33%,9.09%,9.09%,9.09%,9.09%,10.00%,10.00%,10.00%,-78.00%,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-
Operating Margin,62.14%,58.31%,59.33%,57.20%,56.05%,55.36%,63.54%,62.34%,60.04%,58.23%,57.10%,61.93%,60.83%,58.34%,-44.68%,62.79%,64.50%,63.17%,62.40%,64.27%,63.33%,53.86%,61.44%,-
Profit Margin,47.55%,43.05%,45.85%,43.18%,42.34%,40.94%,47.79%,47.16%,44.87%,43.68%,41.55%,46.50%,45.46%,41.16%,-58.68%,47.12%,48.37%,52.02%,66.30%,64.27%,63.33%,53.86%,61.44%,-
Free Cash Flow Margin,66.10%,50.07%,29.71%,78.65%,102.88%,47.68%,42.70%,62.06%,80.19%,62.04%,25.72%,65.74%,74.02%,28.65%,47.95%,13.84%,61.61%,59.03%,86.48%,54.74%,74.44%,22.73%,-,-
Effective Tax Rate,23.47%,26.17%,22.71%,24.51%,24.47%,26.04%,24.77%,24.34%,25.27%,24.98%,27.23%,24.91%,25.27%,29.45%,-,24.95%,25.00%,17.65%,-6.25%,-,-,-,-,-
EBITDA,12.88,11.71,10.76,9.65,8.55,7.94,8.58,8.33,7.09,6.6,6.38,6.98,7.03,6.58,-4.7,7.04,7,7.25,6.31,6.68,6.65,4.84,-,-
EBITDA Margin,63.75%,60.07%,61.33%,59.33%,58.55%,57.20%,65.50%,64.32%,62.35%,60.79%,59.66%,64.43%,63.26%,60.15%,-42.31%,64.75%,66.15%,67.80%,62.37%,67.34%,66.33%,57.05%,-,-
Depreciation & Amortization,0.33,0.34,0.35,0.35,0.37,0.26,0.26,0.26,0.26,0.28,0.27,0.27,0.27,0.2,0.26,0.21,0.18,0.5,-0,0.3,0.3,0.27,-,-
EBIT,12.55,11.36,10.4,9.3,8.19,7.69,8.33,8.07,6.83,6.32,6.1,6.71,6.76,6.38,-4.96,6.83,6.82,6.75,6.32,6.38,6.35,4.57,5.95,-
EBIT Margin,62.14%,58.31%,59.33%,57.20%,56.05%,55.36%,63.54%,62.34%,60.04%,58.23%,57.10%,61.93%,60.83%,58.34%,-44.68%,62.79%,64.50%,63.17%,62.40%,64.27%,63.33%,53.86%,61.44%,-
