Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
"Selling, General & Admin",0.41,0.32,0.29,0.24,0.13,0.02
Operating Expenses,0.41,0.32,0.29,0.24,0.13,0.02
Operating Income,-0.41,-0.32,-0.29,-0.24,-0.13,-0.02
Other Expense / Income,-1.18,-0.62,-0.19,0.01,-0,-
Pretax Income,0.77,0.3,-0.1,-0.25,-0.13,-0.02
Net Income,0.77,0.3,-0.1,-0.25,-0.13,-0.02
Shares Outstanding (Basic),18,18,18,18,7,3
Shares Outstanding (Diluted),18,18,18,18,7,3
Shares Change,177.27%,627.44%,-,-,-,-
EPS (Basic),0.04,0.01,0.01,-0.01,-0.02,-0.01
EPS (Diluted),0.04,0.01,0.01,-0.01,-0.02,-0.01
Free Cash Flow Per Share,-0.02,-0.02,-0.02,-0.00,-0.07,-0.02
EBITDA,0.77,0.3,-0.1,-0.25,-0.13,-0.02
EBIT,0.77,0.3,-0.1,-0.25,-0.13,-0.02
