Metrics,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2018-12-31,2017-12-31
Revenue,"12,318.34","13,193.28","15,288.01","17,316.1","15,831.45","15,924.38","14,828.28","15,250.8","13,285.98","13,076.21","12,637.29","13,046.24","12,548.99","11,838.35",-,-
Revenue Growth (YoY),-22.19%,-17.15%,3.10%,13.54%,19.16%,21.78%,17.34%,16.90%,5.87%,10.46%,-,-,-,-,-,-
Gross Profit,"12,318.34","13,193.28","15,288.01","17,316.1","15,831.45","15,924.38","14,828.28","15,250.8","13,285.98","13,076.21","12,637.29","13,046.24","12,548.99","11,838.35",-,-
"Selling, General & Admin","4,456.8","4,663.02","4,257.78","5,209.44","5,805.68","5,546.28","5,113.47","5,086.97","5,870.77","4,950.32","5,265.72","4,702.29","4,719.99","4,436.58",-,-
Other Operating Expenses,"7,963.72","6,113.37","6,456.14","4,743.2","5,418.78","4,221.55","3,087.49","3,159","2,908.9","2,852.16","2,584.51","2,135.9","3,040.37","2,413.87",0,0
Operating Expenses,"12,420.52","10,776.39","10,713.92","9,952.64","11,224.45","9,767.83","8,200.96","8,245.97","8,779.67","7,802.48","7,850.22","6,838.19","7,760.35","6,850.45",-,-
Operating Income,-102.18,"2,416.9","4,574.09","7,363.46","4,607","6,156.55","6,627.32","7,004.83","4,506.31","5,273.74","4,787.07","6,208.05","4,788.64","4,987.89",-,-
Interest Expense / Income,501.04,305.88,221.28,210.79,267.36,168.09,275.97,284.09,325.96,"1,652.35",441.16,446.19,393.07,296.79,-,-
Other Expense / Income,75.67,-,-,-,-95.32,-,-,-,-77.87,-,-,-,-15.29,-,-,-
Pretax Income,-678.89,"2,111.02","4,352.81","7,152.67","4,434.96","5,988.46","6,351.34","6,720.74","4,258.22","3,621.39","4,345.91","5,761.85","4,410.86","4,691.1",-,-
Income Tax,202.71,756.38,"1,416.36","1,862.79","1,443.35","1,873.01","1,622.65","1,752.11","1,332.87","1,464.19","1,259.71","1,576.49","1,970.76","1,276.88",-,-
Net Income,-881.61,"1,354.64","2,936.45","5,289.88","2,991.61","4,115.45","4,728.69","4,968.63","2,925.36","2,157.2","3,086.2","4,185.36","2,440.1","3,414.22",-,-
Net Income Growth,-,-67.08%,-37.90%,6.47%,2.26%,90.78%,53.22%,18.71%,19.89%,-36.82%,-,-,-,-,-,-
Shares Outstanding (Basic),"1,144","1,144","1,144","1,144","1,231","1,231","1,231","1,231","1,220","1,220","1,220","1,220","1,220",-,-,-
Shares Change,-7.06%,-7.06%,-7.06%,-7.06%,0.94%,0.94%,0.94%,0.94%,-,-,-,-,-,-,-,-
EPS (Basic),-0.35,0.57,1.27,2.31,1.26,1.76,2.00,2.09,1.24,1.00,1.43,1.93,1.12,1.57,-,-
EPS (Diluted),-0.20,0.62,1.23,2.14,1.24,1.66,1.86,1.96,1.20,1.00,1.43,1.92,1.12,1.57,-,-
EPS Growth,-,-62.65%,-33.87%,9.46%,3.35%,65.17%,30.53%,1.82%,6.70%,-36.19%,-,-,-,-,-,-
Dividend Per Share,0.150,-,0.320,-,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,-,-
Operating Margin,-0.83%,18.32%,29.92%,42.52%,29.10%,38.66%,44.69%,45.93%,33.92%,40.33%,37.88%,47.58%,38.16%,42.13%,-,-
Profit Margin,-7.16%,10.27%,19.21%,30.55%,18.90%,25.84%,31.89%,32.58%,22.02%,16.50%,24.42%,32.08%,19.44%,28.84%,-,-
Effective Tax Rate,-,35.83%,32.54%,26.04%,32.54%,31.28%,25.55%,26.07%,31.30%,40.43%,28.99%,27.36%,44.68%,27.22%,-,-
EBIT,-177.85,"2,416.9","4,574.09","7,363.46","4,702.32","6,156.55","6,627.32","7,004.83","4,584.18","5,273.74","4,787.07","6,208.05","4,803.92","4,987.89",-,-
EBIT Margin,-1.44%,18.32%,29.92%,42.52%,29.70%,38.66%,44.69%,45.93%,34.50%,40.33%,37.88%,47.58%,38.28%,42.13%,-,-
