Metrics,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Revenue,-140.05,183.63,189.05,178.58,175.02,175.76,147.39,153.64,155.88,152.35,145.75,137.81,104.92,146.4,145.74,147.66,147.47
Revenue Growth (YoY),-,4.48%,28.27%,16.23%,12.28%,15.37%,1.12%,11.49%,48.58%,4.06%,0.01%,-6.67%,-28.86%,-,-,-,-
Gross Profit,-140.05,183.63,189.05,178.58,175.02,175.76,147.39,153.64,155.88,152.35,145.75,137.81,104.92,146.4,145.74,147.66,147.47
"Selling, General & Admin",102.89,104.57,103.28,99.88,98.03,127.46,87.99,94.44,86.08,92.69,88.55,85.78,82.75,87.98,83.43,84.34,88.5
Other Operating Expenses,13.4,28.18,13.56,11.26,10.83,16.14,10.98,12.9,7.97,106.48,21.27,14.99,12.42,17.64,17.24,9.01,16.33
Operating Expenses,116.29,132.76,116.84,111.14,108.87,143.6,98.97,107.34,94.05,199.17,109.82,100.77,95.17,105.62,100.67,93.36,104.83
Operating Income,-256.34,50.87,72.21,67.45,66.16,32.15,48.42,46.31,61.83,-46.82,35.93,37.05,9.74,40.78,45.07,54.3,42.64
Other Expense / Income,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8.21,-
Pretax Income,-256.34,50.87,72.21,67.45,66.16,32.15,48.42,46.31,61.83,-46.82,35.93,37.05,9.74,40.78,45.07,46.09,42.64
Income Tax,-62.24,8.58,17.44,16.27,14.64,-2.93,11.31,11.5,14.17,-2.76,7.43,7.2,1.3,9.54,9.23,11.03,9.68
Net Income,-194.1,42.29,54.78,51.17,51.52,35.09,37.11,34.81,47.66,-44.06,28.51,29.85,8.45,31.24,35.84,35.05,32.97
Net Income Growth,-,20.54%,47.62%,47.01%,8.08%,-,30.17%,16.61%,464.39%,-,-20.47%,-14.84%,-74.38%,-,-,-,-
Shares Outstanding (Basic),176,177,178,183,184,187,187,187,187,187,179,179,179,-,-,-,-
Shares Change,-4.48%,-5.40%,-4.51%,-2.19%,-1.24%,-,4.18%,4.18%,4.18%,-,-,-,-,-,-,-,-
EPS (Basic),-1.20,0.27,0.33,0.31,0.30,0.21,0.22,0.20,0.28,0.13,-,-,-,-,-,-,-
EPS (Diluted),-1.20,0.27,0.33,0.31,0.30,0.21,0.22,0.20,0.28,0.13,-,-,-,-,-,-,-
EPS Growth,-,28.57%,50.00%,55.00%,7.14%,61.54%,-,-,-,-,-,-,-,-,-,-,-
Free Cash Flow Per Share,0.56,0.01,0.36,0.55,0.40,0.36,0.35,-0.03,0.35,0.29,0.06,0.18,-0.18,-,-,-,-
Dividend Per Share,-,0.100,0.100,0.100,0.100,0.080,0.080,0.080,0.060,-,-,-,-,-,-,-,-
Dividend Growth,-,25.00%,25.00%,25.00%,66.67%,-,-,-,-,-,-,-,-,-,-,-,-
Gross Margin,-,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,-,27.70%,38.20%,37.77%,37.80%,18.29%,32.85%,30.14%,39.67%,-30.73%,24.65%,26.88%,9.29%,27.85%,30.93%,36.77%,28.92%
Profit Margin,-,23.03%,28.97%,28.65%,29.43%,19.96%,25.18%,22.66%,30.58%,-28.92%,19.56%,21.66%,8.05%,21.34%,24.59%,23.74%,22.35%
Free Cash Flow Margin,-,0.65%,34.00%,55.81%,41.99%,37.95%,44.43%,-4.14%,41.65%,35.30%,7.60%,23.54%,-31.05%,33.92%,40.15%,36.34%,18.45%
Effective Tax Rate,-,16.86%,24.14%,24.13%,22.13%,-9.12%,23.36%,24.83%,22.92%,-,20.67%,19.43%,13.32%,23.40%,20.48%,23.94%,22.70%
EBITDA,-249.48,58,79.17,74.26,73.23,40.23,54.76,52.93,67.98,-40.25,42.75,43.63,17.68,45.5,50.05,51.05,47.46
EBITDA Margin,-,31.59%,41.88%,41.58%,41.84%,22.89%,37.15%,34.45%,43.61%,-26.42%,29.33%,31.66%,16.85%,31.08%,34.34%,34.58%,32.18%
Depreciation & Amortization,6.86,7.13,6.96,6.81,7.08,8.08,6.34,6.62,6.15,6.58,6.82,6.58,7.93,4.73,4.98,4.97,4.81
EBIT,-256.34,50.87,72.21,67.45,66.16,32.15,48.42,46.31,61.83,-46.82,35.93,37.05,9.74,40.78,45.07,46.09,42.64
EBIT Margin,-,27.70%,38.20%,37.77%,37.80%,18.29%,32.85%,30.14%,39.67%,-30.73%,24.65%,26.88%,9.29%,27.85%,30.93%,31.21%,28.92%
